wage_total,hh,bs_profit,other_inc,profit_agr,profit_ls,total_agrls,total
1402.0696666653785,1021001802.0,,0.0,,,,1402.0696666653785
9008.297608325056,1021001804.0,386.5645620803359,39429.585332194256,,,,48824.44750259965
,1021001809.0,456.1461832547963,5027.272129854768,,,,5483.418313109564
1437.1214083320126,1021001810.0,456.1461832547963,1546.2582483213434,,,,3439.525839908152
1892.7940499982608,1021001902.0,,0.0,,,,1892.7940499982608
3505.174166663445,1021001907.0,,0.0,,,,3505.174166663445
995.4694633324189,1021001908.0,,1043.7243176169068,,,,2039.1937809493256
1226.8109583322062,1021001910.0,,2443.088032347723,,,,3669.8989906799293
455.67264166624784,1021001915.0,,0.0,,,,455.67264166624784
,1021002003.0,38.656456208033596,6308.733653151082,,,,6347.390109359116
2103.104499998068,1021002007.0,,742.2039591942447,,,,2845.308459192313
,1021002008.0,85.04420365767389,889.0984927847725,,,,974.1426964424463
1331.9661833321095,1021002010.0,179.36595680527583,4781.803632933755,,,,6293.13577307114
841.2417999992268,1021002011.0,,711.278794227818,,,,1552.520594227045
,1021002013.0,,5411.903869124702,-46.3877474496403,,-46.3877474496403,5365.516121675062
,1021002103.0,19.328228104016798,162.35711607374103,,,,181.68534417775783
3936.3105891630494,1021002105.0,212.61050914418476,13916.32423489209,,,,18065.245333199324
,1021002106.0,,0.0,,,,0.0
4381.467708329307,1021002107.0,,0.0,,,,4381.467708329307
546.8071699994975,1021002201.0,104.37243176169069,1677.6901994286575,,,,2328.869801189846
1857.7423083316266,1021002203.0,-110.17090019289572,2319.387372482015,0.0,29.572188999145695,29.572188999145695,4096.530969619892
1051.5522499990338,1021002204.0,,1391.632423489209,,,,2443.184673488243
,1021002205.0,46.387747449640294,1206.0814336906478,,,,1252.4691811402881
,1021002207.0,-51.02652219460433,2860.577759394485,,,,2809.5512371998807
1962.8975333315293,1021002208.0,135.29759672811755,850.4420365767389,,,,2948.6371666363857
771.1383166659581,1021002210.0,,695.4296471825243,2.7715797198457848,0.0,2.7715797198457848,1469.339543568328
1128.6660816656295,1021002301.0,,0.0,,,,1128.6660816656295
3435.0706833301765,1021002307.0,,0.0,,,,3435.0706833301765
,1021002308.0,152.3064374596523,1855.5098979856125,,,,2007.8163354452647
1370.5230991654073,1021002309.0,,0.0,,,,1370.5230991654073
,1021002312.0,-9.664114052008397,2767.8022644952052,,,,2758.138150443197
,1021002405.0,,212.61050914418476,,,,212.61050914418476
2453.6219166644123,1021002407.0,,4174.897270467627,,,,6628.519187132039
2103.104499998068,1021002501.0,-46.387747449640294,3865.6456208033587,,,,5922.362373351787
1752.5870833317224,1021002502.0,-241.60285130020992,3826.989164595325,,,,5337.973396626838
,1021002508.0,34.790810587230226,3842.451747078538,,,,3877.2425576657683
,1021002509.0,38.656456208033596,483.20570260041984,,,,521.8621588084534
,1021002603.0,-50.25339307044366,425.2210182883695,,,,374.96762521792584
420.62089999961347,1021002605.0,115.96936862410077,2087.448635233813,,,,2624.038903857527
2734.035849997488,1021002606.0,,13.916324234892091,,,,2747.9521742323805
,102100260606.0,46.387747449640294,0.0,,,,46.387747449640294
,1021002610.0,,873.6359103015592,321.62297282919207,54.711911079394156,376.3348839085861,1249.9707942101454
385.56915833297904,1021002611.0,,231.93873724820156,58.75781343621105,0.0,58.75781343621105,676.2657090173916
,1021002702.0,3169.829409058754,6146.37653707734,,,,9316.205946136095
,1021002703.0,27.059519345623514,1282.6212169825544,,,,1309.680736328178
937.6340895824716,1021002711.0,,216.4761547649881,,,,1154.1102443474597
771.1383166659581,1021002801.0,,1805.2565049151685,0.0,-8.50442036576739,-8.50442036576739,2567.890401215359
