hh,own_value
1143000308,182000.0
1143000309,
1143000310,
1153000402,
1153000403,
1153000404,
1153000405,
1153000407,
115300040702,
115300040703,
1153000410,780000.0
1153002701,78000.0
1153002703,
1153002704,
1153002706,
1153002707,436800.0
1153003102,
1153003105,
1153003106,
1153003107,
1163001102,
1163001104,
116300110402,546000.0
1163001105,
1163001106,
1163001107,
1163001110,
1163001301,
1163001302,
1163001303,
1163001305,
1163001307,
1163001310,
116300131002,
2013000401,
2013000402,
2013000403,
2013000404,
2013000407,
2013000408,
2013000409,
201300041004,
2013000601,
2013000602,
2013000604,
2013000607,
2013000609,
2013000802,
2013000804,
2013000805,364000.0
2013000808,
2013000809,728000.0
201300080905,
2013000810,
2013000901,
2013000906,
2021000103,
2021000106,
2021000109,
2023000502,364000.0
2023000503,
2023000506,
2023000508,
2023000509,
2023000510,
2023000701,
2023000702,
2023000706,
2023000707,
2023000710,
2031000106,
2031000114,
203100040102,
2031000402,
2031000404,
2031000405,1274000.0
2031000406,
203100040603,
203100040604,
2031000407,
2031000409,
2031000410,
2033000802,
2033000803,546000.0
2033000804,52000.0
2033000808,
2033000809,
2033001801,
2033001804,182000.0
203300180403,291200.0
2033001807,
2033001808,
203300180804,78000.0
2033001809,364000.0
2033001810,353600.0
2033002301,
2033002307,
2033002310,780000.0
2033002801,
2033002803,291200.0
2033002805,291200.0
2033002807,
2033002808,
2033003303,728000.0
2033003305,
203300330503,
203300330504,
203300330507,
203300330511,
2033003307,
2033003308,
2033003309,
2033003310,728000.0
204100020801,
204100020809,
204100020810,
2041000209,
2041000210,
2041000603,
2041000610,
2041000611,
2041000901,
2041000902,
2041000904,
2041000909,
2041000911,1310400.0
2043001201,
2043001202,
2043001204,
2043001206,
2043001209,780000.0
2043001210,
2043001404,
2043001405,
2043001409,
204300141003,182000.0
2043001411,
2043001503,
2043001506,62400.0
2043001508,124800.0
2043001509,208000.0
2043001510,
2051000105,
2051000106,
2051000108,
2051000109,
2051000110,
2051000111,41600.0
2051000113,
2053000401,26000.0
2053000403,
2053000404,78000.0
2053000405,291200.0
2053000406,
2053000407,124800.0
2053000408,
2053000409,218400.0
2053000410,182000.0
2053000902,
2053000903,
2053000905,
2053000906,1456000.0
205300090606,884000.0
205300090611,1638000.0
2053000907,
2053000908,
2053000909,
2053000910,
2053001302,457600.0
2053001303,764400.0
2053001304,
2053001305,
2053001307,
2053001309,62400.0
205300130910,
2053001702,
2053001704,
2053001708,
2053001709,
2053001710,
2053003001,
2053003003,364000.0
2053003006,
2053003007,
2053003008,104000.0
2053003009,
2053003010,780000.0
2063000301,
2063000302,109200.0
2063000303,182000.0
2063000306,291200.0
2063000307,
2063000310,182000.0
2073000502,31200.0
207300050203,
207300050204,847600.0
2073000503,338000.0
2073000504,546000.0
2073000505,156000.0
2073000506,
2073000508,26000.0
2073000509,291200.0
2073000510,707200.0
2073000601,
2073000602,530400.0
2073000603,
2073000604,
2073000605,187200.0
2073000606,707200.0
2073000607,1029600.0
2073000608,
2073000609,
2073000610,1248000.0
2081000101,624000.0
2081000102,
2081000104,1560000.0
2081000106,
2081000107,
2081000109,
208100010902,
208100010903,
208100010905,
2081000110,
2081000111,790400.0
2083000501,41600.0
2083000502,
208300050203,
2083000503,
2083000505,
2083000506,416000.0
2083000508,
2083000509,78000.0
208300050903,780000.0
208300050909,546000.0
208300050912,936000.0
2083000510,624000.0
2083000701,
2083000702,109200.0
208300070203,218400.0
2083000703,364000.0
2083000704,
208300070403,
2083000705,
2083000706,582400.0
2083000708,
2083000709,
2083000710,
2083000801,208000.0
2083000802,416000.0
2083000803,109200.0
2083000804,416000.0
2083000805,312000.0
208300080502,
2083000806,
2083000807,540800.0
2083000808,
2083000809,
208300080903,
2083000810,
2091000306,
2091000308,
2091000312,
2091000603,
2091000607,
2091000609,
209100061003,
2091000611,
2093003305,78000.0
2093003309,582400.0
2101000206,
2101000207,
2101000211,
2102100170601,
2102100250103,1560000.0
2103000402,291200.0
2103000405,
2103000406,
2103000408,
2103000602,
2103000603,
2103000604,
2103000605,728000.0
2103000606,
2103000607,
2103000610,
2103000611,20800.0
2103000703,
2103000704,
2103000705,
2103000707,624000.0
2103000708,
2103000709,655200.0
210300070904,
2103300030402,624000.0
2103300030410,130000.0
2103300051102,
2104300060303,
2104300061103,
2104300080608,
210430008070202,
2105300080810,
2105300120203,
210530015130103,
2105300190609,
2105300300505,
2105300330706,
210530033120204,
2107100010609,
2107100010610,
2107300200304,
2108300160809,
210830020020505,
210830020090105,
2108300230402,
2108300230403,
2108300330205,
2109300040911,312000.0
2111000304,
2111000305,312000.0
2111000307,
211100030706,416000.0
2111000308,
2111000311,416000.0
2111300051016,
2112300060503,
2113000401,
2113000402,
2113000403,
2113000404,218400.0
2113000405,
2113000406,
2113000407,
2113000408,
2113000409,
2113000410,145600.0
2113000602,
2113000604,520000.0
2113000605,
2113000606,436800.0
2113000607,
2113000608,
2113000609,
2113000610,
2113000701,
2113000702,145600.0
2113000703,
2113000704,624000.0
2113000705,
2113000706,
2113000707,312000.0
2113000708,
2113000709,676000.0
211300070903,
211300070905,
211300070906,
2113000710,
2113000901,
2113000903,
2113000905,520000.0
211300090503,
211300090504,
2113000906,
2113000907,
2113000908,780000.0
2113000909,
2113000910,728000.0
2113300120904,
2113300210803,
2113300210804,
211530004040208,
2115300040703,
2121000307,
2121000309,
2123000802,254800.0
2123000803,
2123000804,
2123000806,
212300080905,
2123000810,364000.0
2123000902,
2123000904,182000.0
2123000905,
2123000909,
2123000910,
212300091004,
212300091101,
2123001108,
2123001109,780000.0
2123001110,
212300111005,
2123001301,
2123001302,
2123001303,1300000.0
212300130804,
2123001309,
2123001310,364000.0
2143000202,
2143000203,
2143000204,1040000.0
2143000205,
2143000206,
2143000207,
2143000208,
214300020802,
214300020804,
214300020806,
214300020807,
2143000210,780000.0
2143000301,
2143000309,
2143000310,
2151000101,
2151000105,
2151000106,
2151000109,
2151000110,
2153000202,1404000.0
2153000203,
2153000206,
2153000207,
2153000209,
2153000211,
2153000402,
2153000405,
2153000406,1092000.0
215300040603,
2153000408,130000.0
2153000409,
2153000410,
2153000411,
2153000603,
2153000604,
2153000605,
2153000607,
215300060703,
215300060705,
2153000609,
2153000610,
2153000702,598000.0
2153000703,
2153000705,546000.0
2153000706,
2153000707,182000.0
2153000709,
2153000710,
2163000302,1352000.0
2163000307,1040000.0
2163000308,
2163000310,436800.0
2173000902,
2173000903,182000.0
2173000908,
217300090803,
2173000909,
2173000912,
2183003702,546000.0
2183003704,
2183003705,
2183003708,
2183003709,546000.0
2183003710,546000.0
2193000301,117000.0
2193000302,
2193000303,
2193000304,
2193000306,
2193000307,
2193000308,
2193000309,208000.0
2193000310,
2201300041005,
2202300050903,
2203000102,
2203000104,136500.0
2203000107,182000.0
2203000109,728000.0
2203000110,1185600.0
2203300080311,
220330033050102,
2205300090611,
220530013070304,
2205300300802,62400.0
2207300061006,738400.0
2208300050203,
2208300050904,
220830007040303,
2210300041003,182000.0
2211100030305,
221110003070606,260000.0
221110003070607,
2211100030707,717600.0
2211300040703,
2211300060504,26000.0
2211300060807,
2212300091005,
221230011100502,
221230011100503,
2213000601,
2213000602,
2213000603,
2213000604,
2213000608,
2213000609,
2213000610,
221430002080802,156000.0
221430002080804,
221430002080806,
2215300020903,
221530004060305,
2223002203,
2223002205,
2223002206,
2223002208,473200.0
2223002209,312000.0
2223002210,
222300221007,
222300221011,
222300221020,
222300221023,436800.0
2223002601,
2223002602,
222300260301,
2223002606,
2223002607,
2223002609,182000.0
2223002610,764400.0
2233001103,
2233001105,20800.0
2233001106,
223300110608,
2233001107,
2233001110,273000.0
2233001402,
2233001403,
2233001407,
2233001410,1092000.0
2233001803,
2233001806,182000.0
2233001807,130000.0
