hh,own_value
1033000511,1612000.0
103300051102,717600.0
1041000203,
1041000206,
1041000207,520000.0
1041000209,1586000.0
1041000210,15600.0
1041000211,
1041000213,
1043000401,
1043000402,1216800.0
1043000403,1248000.0
1043000406,868400.0
1043000407,1778400.0
1043000408,156000.0
1043000409,3104400.0
104300040906,3161600.0
104300040908,2236000.0
1043000410,7228000.0
1043000601,2470000.0
1043000603,2922400.0
104300060303,
104300060305,
1043000604,1040000.0
1043000605,2922400.0
1043000606,
1043000607,639600.0
1043000609,
1043000610,11050000.0
1043000611,2142400.0
104300061103,
1043000802,
1043000804,1144000.0
1043000805,910000.0
1043000806,915200.0
1043000807,721500.0
104300080702,
1043000808,1622400.0
1043000809,6203600.0
1043000810,4076800.0
1043000811,291200.0
1051000104,
1051000105,
1051000106,
1051000109,
1051000110,3380000.0
1051000301,
1051000305,
1051000309,3952000.0
1051000310,
1053000402,2028000.0
1053000403,1586000.0
1053000404,1996800.0
105300040602,
105300040605,1664000.0
105300040607,4186000.0
1053000407,260000.0
1053000408,967200.0
1053000409,1783600.0
1053000410,1913600.0
1053000801,286000.0
1053000802,2810600.0
1053000804,1352000.0
1053000805,
1053000806,1820000.0
1053000807,1882400.0
1053000808,3816800.0
1053000809,1508000.0
1053001201,
1053001202,104000.0
1053001203,629200.0
1053001204,754000.0
1053001206,2600000.0
1053001207,312000.0
1053001208,
1053001210,187200.0
1053001503,1986400.0
1053001505,715000.0
1053001507,2472600.0
1053001508,3042000.0
1053001509,655200.0
1053001510,2444000.0
1053001512,832000.0
1053001513,540800.0
105300151301,2126800.0
1053001902,1484600.0
1053001903,1669200.0
1053001904,5850000.0
1053001905,72800.0
1053001906,2324400.0
1053001907,1586000.0
1053001908,1658800.0
1053001909,1419600.0
1053001910,2158000.0
1053002302,1450800.0
1053002303,
1053002304,884000.0
1053002305,4654000.0
1053002306,1742000.0
1053002307,806000.0
1053002308,1560000.0
1053002309,858000.0
1053002602,686400.0
1053002603,
1053002605,4472000.0
1053002606,135200.0
105300260602,
1053002607,1190800.0
1053002608,4183400.0
105300260802,78000.0
1053002609,1526200.0
1053002610,1586000.0
1053003002,598000.0
1053003003,2964000.0
105300300504,
1053003006,1040000.0
1053003008,816400.0
1053003010,1222000.0
1053003303,2470000.0
1053003304,592800.0
1053003305,873600.0
1053003307,1944800.0
105300330702,
1053003309,1757600.0
1053003310,1086800.0
1053003312,1627600.0
105300331202,824200.0
1063000301,624000.0
1063000302,878800.0
1063000304,
1063000305,3426800.0
106300030505,
106300030511,665600.0
106300030512,1040000.0
1063000307,
1063000308,1820000.0
1063000310,1903200.0
1063000311,1508000.0
1063000502,
1063000503,1518400.0
1063000504,2017600.0
1063000505,26000.0
1063000506,312000.0
1063000508,468000.0
1063000509,1175200.0
1063000510,1445600.0
106300051003,1508000.0
106300051004,4524000.0
106300051007,1185600.0
1063000511,1996800.0
1063000701,26000.0
1063000702,1573000.0
1063000703,1352000.0
1063000704,598000.0
1063000705,1414400.0
1063000706,
1063000707,1575600.0
1063000709,1235000.0
1063000710,2106000.0
1063000711,2496000.0
1063000902,1742000.0
1063000903,98800.0
1063000905,936000.0
1063000907,1092000.0
1063000908,3192800.0
1063000909,1664000.0
1063000912,1092000.0
1071000101,104000.0
1071000103,
1071000104,
1071000106,
1071000109,1040000.0
1071000110,863200.0
1071000111,
1071000201,
1071000205,364000.0
1071000206,
1071000207,
1071000208,936000.0
1071000209,2095600.0
1071000210,1118000.0
1073000801,774800.0
1073000803,
1073000807,962000.0
1073000808,468000.0
1073000809,
1073001201,769600.0
107300120302,819000.0
1073001205,1060800.0
