,familysize,hh
3213002304,8,3213002304
4063001104,8,4063001104
1083000603,8,1083000603
2103000603,8,2103000603
2233002210,8,2233002210
3093000208,8,3093000208
3213002310,8,3213002310
30223300260910,8,30223300260910
1093000407,8,1093000407
2043001508,8,2043001508
4013000309,8,4013000309
3183000305,8,3183000305
1083000601,8,1083000601
3083000402,8,3083000402
2113000404,8,2113000404
105300260806,8,105300260806
4173001410,8,4173001410
231730009100411,8,231730009100411
3023000811,8,3023000811
4073000309,8,4073000309
2121000306,8,2121000306
3203001804,8,3203001804
3023000308,8,3023000308
102100110901,8,102100110901
4023000710,8,4023000710
3063000704,8,3063000704
3203003010,8,3203003010
2013000810,8,2013000810
3191000509,8,3191000509
3203002104,8,3203002104
4103002910,8,4103002910
3133000109,8,3133000109
2153000702,8,2153000702
4143000308,8,4143000308
4023001109,8,4023001109
2083000802,8,2083000802
2123001303,8,2123001303
211100030706,8,211100030706
1053000410,8,1053000410
3033003307,8,3033003307
2091000306,8,2091000306
1053003003,8,1053003003
3041000704,8,3041000704
1113000509,8,1113000509
1053001503,8,1053001503
4053000609,8,4053000609
4183001101,8,4183001101
4163000702,8,4163000702
3173001005,8,3173001005
1133001210,8,1133001210
2233001407,8,2233001407
1133001009,8,1133001009
1063000502,8,1063000502
30201300041003,8,30201300041003
3023001002,8,3023001002
2083000709,8,2083000709
1133001904,8,1133001904
2402300160905,8,2402300160905
3033000610,8,3033000610
3133000111,8,3133000111
1121000110,8,1121000110
4173001409,8,4173001409
2083000502,8,2083000502
4133000504,8,4133000504
3073001802,8,3073001802
2113000610,8,2113000610
2073000506,8,2073000506
2093003309,8,2093003309
3093000104,8,3093000104
1053003010,8,1053003010
4153000708,8,4153000708
1021001003,8,1021001003
1043000601,8,1043000601
208300050912,8,208300050912
3073002505,8,3073002505
4123000504,8,4123000504
1021002501,8,1021002501
3193001211,8,3193001211
3023000807,8,3023000807
2073000503,8,2073000503
1053001208,8,1053001208
3013000309,8,3013000309
3073001707,8,3073001707
3083000411,8,3083000411
2223002609,8,2223002609
1053000806,8,1053000806
4183002301,8,4183002301
1043000603,8,1043000603
4083000204,8,4083000204
2153000206,8,2153000206
4013000509,8,4013000509
4171000804,8,4171000804
203100040603,8,203100040603
3113000310,8,3113000310
3133000102,8,3133000102
3073002209,8,3073002209
3203002410,8,3203002410
4053001008,8,4053001008
1021001504,8,1021001504
4023000707,8,4023000707
4103003807,8,4103003807
1113000306,8,1113000306
4093000905,8,4093000905
3023001812,8,3023001812
1103000501,8,1103000501
3073002302,8,3073002302
2213000608,8,2213000608
1103001202,8,1103001202
1021000604,8,1021000604
2103000406,8,2103000406
1083001303,8,1083001303
1131000405,8,1131000405
3043001402,8,3043001402
3073002508,8,3073002508
4051000501,8,4051000501
4073000910,8,4073000910
1051000109,8,1051000109
3093000109,8,3093000109
2103000408,8,2103000408
1021001406,8,1021001406
4023000709,8,4023000709
1033000506,8,1033000506
1143000306,8,1143000306
2113000908,8,2113000908
3021000211,8,3021000211
4133000512,8,4133000512
2073000606,8,2073000606
2153000209,8,2153000209
1101000103,8,1101000103
3073001811,8,3073001811
4163000706,8,4163000706
2113000408,8,2113000408
3063000706,8,3063000706
4083000205,8,4083000205
3183000307,8,3183000307
2033003305,8,2033003305
4031000209,8,4031000209
4133000207,8,4133000207
3033000903,8,3033000903
3051000101,8,3051000101
3203002402,8,3203002402
2043001505,8,2043001505
2193000308,8,2193000308
1163001307,8,1163001307
3063000608,8,3063000608
