id,purch_value,own_value,gift_value,total_value
H05405-04-01,,,40000.0,40000.0
H05406-04-01,60000.0,,55000.0,115000.0
H05407-04-01,409000.0,,,409000.0
H05409-04-01,297900.0,,,297900.0
H05410-04-01,235000.0,,,235000.0
H05412-04-01,282000.0,,,282000.0
H05412-04-02,314000.0,40000.0,,354000.0
H05412-04-03,560600.0,,,560600.0
H05701-04-01,752000.0,,,752000.0
H05702-04-01,757000.0,,232000.0,989000.0
H05703-04-01,1203000.0,,280000.0,1483000.0
H05704-04-01,782000.0,,90000.0,872000.0
H05705-04-01,208500.0,10000.0,,218500.0
H05706-04-01,1082000.0,,,1082000.0
H05707-04-01,,,420000.0,420000.0
H05709-04-01,105000.0,,40000.0,145000.0
H05710-04-01,1208000.0,,,1208000.0
H05711-04-01,889000.0,20000.0,,909000.0
H05711-04-02,1527000.0,,,1527000.0
H05901-04-01,4510500.0,,,4510500.0
H05903-04-01,650000.0,,,650000.0
H05904-04-01,1790500.0,,,1790500.0
H05906-04-01,4203900.0,,,4203900.0
H05906-04-02,333000.0,,,333000.0
H05910-04-01,6666000.0,,330000.0,6996000.0
H06001-04-01,2818800.0,,,2818800.0
H06005-04-01,1071000.0,,,1071000.0
H06006-04-01,895000.0,,,895000.0
H06007-04-01,110000.0,,,110000.0
H06008-04-01,402000.0,,757400.0,1159400.0
H06009-04-01,5685000.0,,,5685000.0
H06010-04-01,1474000.0,,,1474000.0
H06101-04-01,869000.0,,,869000.0
H06102-04-01,4789350.0,,,4789350.0
H06103-04-01,225000.0,40000.0,,265000.0
H06104-04-01,1056000.0,,40000.0,1096000.0
H06104-04-02,1007000.0,,10000.0,1017000.0
H06104-04-03,984000.0,,,984000.0
H06105-04-01,738000.0,,180000.0,918000.0
H06105-04-02,981100.0,,,981100.0
H06107-04-01,1814000.0,,,1814000.0
H06108-04-01,110000.0,,195000.0,305000.0
H06109-04-01,455000.0,,2045000.0,2500000.0
H06110-04-01,267000.0,,106000.0,373000.0
H06201-04-01,190000.0,,,190000.0
H06203-04-01,355000.0,,,355000.0
H06207-04-01,849000.0,,,849000.0
H06208-04-01,1369000.0,,,1369000.0
H06209-04-01,11500.0,,6000.0,17500.0
H06301-04-01,404500.0,,65000.0,469500.0
H06302-04-01,259000.0,,50000.0,309000.0
H06303-04-01,312000.0,,,312000.0
H06303-04-02,43000.0,,,43000.0
H06303-04-03,304000.0,,,304000.0
H06305-04-01,47000.0,,70000.0,117000.0
H06306-04-01,515000.0,,,515000.0
H06307-04-01,281500.0,,,281500.0
H06309-04-01,468500.0,,,468500.0
H06310-04-01,4620000.0,,,4620000.0
H06310-04-02,746000.0,,,746000.0
H06310-04-03,628000.0,,,628000.0
H06401-04-01,80000.0,,,80000.0
H06402-04-01,35000.0,,,35000.0
H06403-04-01,10000.0,,,10000.0
H06404-04-01,407000.0,,,407000.0
H06405-04-01,681500.0,,,681500.0
H06406-04-01,443500.0,,,443500.0
H06408-04-01,303500.0,,,303500.0
H06409-04-01,807000.0,,,807000.0
H06410-04-01,165000.0,,,165000.0
H06411-04-01,839700.0,,,839700.0
H06601-04-01,319000.0,,,319000.0
H06602-04-01,762000.0,10000.0,,772000.0
H06603-04-01,855000.0,,,855000.0
H06604-04-01,261000.0,,70000.0,331000.0
H06605-04-01,608000.0,,404000.0,1012000.0
H06606-04-01,264000.0,,,264000.0
H06607-04-01,228500.0,30000.0,10000.0,268500.0
H06608-04-01,572000.0,,,572000.0
H06609-04-01,1594000.0,,,1594000.0
H06701-04-01,773500.0,,17000.0,790500.0
H06702-04-01,9754000.0,,,9754000.0
H06703-04-01,428000.0,,,428000.0
H06704-04-01,794000.0,10000.0,100000.0,904000.0
H06706-04-01,240500.0,,34000.0,274500.0
H06707-04-01,395000.0,,,395000.0
H06707-04-02,466000.0,,,466000.0
H06708-04-01,12000.0,,20000.0,32000.0
H06709-04-01,997000.0,,,997000.0
H06710-04-01,303000.0,,,303000.0
H06801-04-01,819500.0,,,819500.0
H06802-04-01,348500.0,,,348500.0
H06803-04-01,436000.0,,,436000.0
H06805-04-01,465000.0,,,465000.0
H06806-04-01,705000.0,,25000.0,730000.0
H06807-04-01,804500.0,,53500.0,858000.0
H06810-04-01,1050000.0,,,1050000.0
H06810-04-02,2801000.0,,,2801000.0
H06901-04-01,138000.0,,397000.0,535000.0
H06902-04-01,1372000.0,,,1372000.0
H06903-04-01,909000.0,,,909000.0
H06906-04-01,,,6000.0,6000.0
H06908-04-01,179000.0,,,179000.0
H06909-04-01,998000.0,,150000.0,1148000.0
H06911-04-01,1430000.0,,,1430000.0
H06911-04-03,255100.0,,180000.0,435100.0
H06914-04-01,276001.0,,1050000.0,1326001.0
H07002-04-02,512300.0,,,512300.0
H07003-04-01,1410000.0,,,1410000.0
H07007-04-01,3143000.0,,250000.0,3393000.0
H07007-04-02,1858000.0,,,1858000.0
H07008-04-01,1569500.0,,60000.0,1629500.0
H07009-04-01,78000.0,,343001.0,421001.0
H07010-04-01,5100201.0,,,5100201.0
H07201-04-01,319000.0,,,319000.0
H07202-04-01,347300.0,,,347300.0
H07202-04-02,81000.0,,,81000.0
H07203-04-01,386700.0,,40000.0,426700.0
H07204-04-01,273000.0,,,273000.0
H07205-04-01,27500.0,25000.0,99000.0,151500.0
H07206-04-01,1650600.0,,,1650600.0
H07207-04-01,332000.0,,,332000.0
H07208-04-01,85000.0,,,85000.0
H07208-04-02,171300.0,,,171300.0
H07209-04-01,19000.0,,,19000.0
H07210-04-01,1112800.0,,15000.0,1127800.0
H07302-04-01,130000.0,,,130000.0
H07303-04-01,198000.0,,,198000.0
H07304-04-01,205500.0,,,205500.0
H07304-04-02,283000.0,,,283000.0
H07305-04-01,43000.0,,30000.0,73000.0
H07306-04-01,277000.0,7000.0,490000.0,774000.0
H07307-04-01,543000.0,,,543000.0
H07309-04-01,1117000.0,,,1117000.0
H07310-04-01,906000.0,,,906000.0
H07311-04-01,31000.0,,,31000.0
H07403-04-01,223000.0,,,223000.0
H07404-04-01,28900.0,,,28900.0
H07406-04-01,489000.0,,,489000.0
H07408-04-01,511000.0,,,511000.0
H07408-04-02,597000.0,,,597000.0
H07408-04-03,315000.0,,1555000.0,1870000.0
H07410-04-01,996000.0,,,996000.0
H07412-04-01,356000.0,5000.0,,361000.0
H07413-04-01,364000.0,,,364000.0
H07501-04-01,411000.0,,,411000.0
H07502-04-01,776000.0,,50000.0,826000.0
H07502-04-02,116500.0,,,116500.0
H07502-04-03,365500.0,,,365500.0
H07502-04-04,314000.0,,,314000.0
H07502-04-06,284000.0,,,284000.0
H07502-04-07,1210000.0,,,1210000.0
H07504-04-01,1860000.0,,,1860000.0
H07506-04-01,223000.0,,,223000.0
H07507-04-01,588500.0,,,588500.0
H07508-04-01,1023000.0,,80000.0,1103000.0
H07509-04-01,790000.0,,,790000.0
H07509-04-02,161000.0,,,161000.0
H07509-04-03,172000.0,,525000.0,697000.0
H07509-04-04,6300.0,,50000.0,56300.0
H07510-04-01,445500.0,,615000.0,1060500.0
H08101-04-01,546000.0,,,546000.0
H08102-04-01,5000.0,,70000.0,75000.0
H08102-04-02,8316000.0,,3250000.0,11566000.0
H08102-04-03,9606000.0,,,9606000.0
H08102-04-04,469000.0,,,469000.0
H08102-04-06,306000.0,,,306000.0
H08103-04-01,3061301.0,,10000.0,3071301.0
H08107-04-01,567000.0,,100000.0,667000.0
H08114-04-01,151000.0,,,151000.0
H08301-04-01,809000.0,,,809000.0
H08302-04-01,1312000.0,,,1312000.0
H08302-04-02,2072000.0,,290000.0,2362000.0
H08302-04-03,853000.0,,,853000.0
H08302-04-04,521000.0,,,521000.0
H08303-04-01,2333000.0,30000.0,,2363000.0
H08304-04-01,650000.0,,,650000.0
H08305-04-01,7500.0,,,7500.0
H08306-04-01,1695000.0,,,1695000.0
H08307-04-02,173000.0,,,173000.0
H08307-04-03,304000.0,,,304000.0
H08308-04-01,389500.0,,,389500.0
H08308-04-03,134000.0,,,134000.0
H08309-04-01,1188000.0,,,1188000.0
H08310-04-01,61000.0,,,61000.0
H08402-04-01,155000.0,,,155000.0
H08404-04-01,2324500.0,,80000.0,2404500.0
H08405-04-01,550000.0,,,550000.0
H08406-04-01,498000.0,,,498000.0
H08406-04-02,430500.0,,,430500.0
H08406-04-03,604000.0,,,604000.0
H08406-04-04,2486000.0,,,2486000.0
H08408-04-01,183100.0,,,183100.0
H08409-04-01,292200.0,,,292200.0
H08409-04-02,659000.0,,,659000.0
H08410-04-01,259000.0,,,259000.0
H08411-04-01,113500.0,,590000.0,703500.0
H08501-04-01,829000.0,,,829000.0
H08502-04-01,496500.0,,,496500.0
H08503-04-01,70000.0,,,70000.0
H08503-04-02,434000.0,,,434000.0
H08503-04-03,219100.0,,,219100.0
H08504-04-01,181000.0,,,181000.0
H08505-04-01,458500.0,,,458500.0
H08506-04-01,306000.0,,,306000.0
H08507-04-01,266000.0,,,266000.0
H08508-04-01,129000.0,,,129000.0
H08509-04-01,86000.0,,35000.0,121000.0
H08510-04-01,945000.0,,58000.0,1003000.0
H08510-04-02,1071000.0,,,1071000.0
H08602-04-01,195000.0,,40000.0,235000.0
H08602-04-02,320000.0,,,320000.0
H08602-04-03,98000.0,,,98000.0
H08603-04-01,731200.0,,50000.0,781200.0
H08609-04-01,105000.0,,6275000.0,6380000.0
H08611-04-01,944000.0,,315000.0,1259000.0
H08701-04-01,2170000.0,,,2170000.0
H08703-04-01,1652500.0,,,1652500.0
H08704-04-01,771000.0,,,771000.0
H08706-04-01,5880301.0,,,5880301.0
H08707-04-01,1011500.0,,,1011500.0
H08708-04-01,2829000.0,,,2829000.0
H08708-04-02,587500.0,,,587500.0
H08709-04-01,5725200.0,,,5725200.0
H08710-04-01,4590500.0,,,4590500.0
H08801-04-01,267000.0,,,267000.0
H08802-04-01,1352000.0,,,1352000.0
H08802-04-02,649000.0,,163000.0,812000.0
H08803-04-01,72000.0,,25500.0,97500.0
H08804-04-01,10000.0,,40000.0,50000.0
H08805-04-01,93800.0,,,93800.0
H08806-04-01,177000.0,,,177000.0
H08810-04-01,,,85000.0,85000.0
H08811-04-01,789000.0,,125000.0,914000.0
H09001-04-01,1149000.0,,,1149000.0
H09001-04-02,163000.0,,,163000.0
H09003-04-01,491000.0,,,491000.0
H09004-04-01,100000.0,,35000.0,135000.0
H09004-04-02,287000.0,,60000.0,347000.0
H09005-04-01,35000.0,,50000.0,85000.0
H09007-04-01,3325200.0,,,3325200.0
H09008-04-01,5401000.0,,,5401000.0
H09008-04-02,123000.0,,,123000.0
H09009-04-01,113800.0,,,113800.0
H09009-04-02,625000.0,,,625000.0
H09010-04-01,1438000.0,,1280000.0,2718000.0
H09011-04-01,186500.0,,10000.0,196500.0
H09101-04-01,157200.0,,115000.0,272200.0
H09102-04-01,428000.0,,,428000.0
H09103-04-01,1724301.0,,,1724301.0
H09105-04-01,1113601.0,,50000.0,1163601.0
H09105-04-02,104000.0,,,104000.0
H09106-04-01,42000.0,,53500.0,95500.0
H09106-04-02,89500.0,,,89500.0
H09107-04-01,79000.0,,,79000.0
H09108-04-01,2482000.0,,,2482000.0
H09109-04-01,97000.0,,,97000.0
H09110-04-01,5630000.0,,670000.0,6300000.0
H09111-04-01,618500.0,,,618500.0
H09203-04-01,2138000.0,,,2138000.0
H09206-04-01,289500.0,,,289500.0
H09208-04-01,276000.0,,200000.0,476000.0
H09209-04-01,45000.0,,,45000.0
H09210-04-01,319100.0,6000.0,,325100.0
H09403-04-01,200000.0,,100000.0,300000.0
H09403-04-02,1021500.0,,150000.0,1171500.0
H09410-04-01,4396001.0,,,4396001.0
H09501-04-01,134000.0,,,134000.0
H09504-04-01,16695000.0,,800000.0,17495000.0
H09505-04-01,4184000.0,,,4184000.0
H09509-04-01,1736000.0,,,1736000.0
H09510-04-01,1457500.0,,,1457500.0
H09513-04-01,1467000.0,,,1467000.0
H09514-04-01,1965000.0,,,1965000.0
H09604-04-01,8381000.0,,,8381000.0
H09605-04-01,410000.0,,,410000.0
H09608-04-01,1355000.0,,110000.0,1465000.0
H09609-04-01,1200000.0,,140000.0,1340000.0
H09610-04-01,7627500.0,,,7627500.0
H09613-04-01,1110000.0,,,1110000.0
H09701-04-01,1622450.0,,,1622450.0
H09705-04-01,4164600.0,,,4164600.0
H09706-04-01,555000.0,,460000.0,1015000.0
H09710-04-01,905000.0,,3540000.0,4445000.0
H09901-04-01,1230000.0,,,1230000.0
H09902-04-01,27000.0,,,27000.0
H09903-04-01,897000.0,,105000.0,1002000.0
H09905-04-01,354900.0,,,354900.0
H09906-04-01,100000.0,,,100000.0
H09908-04-01,455000.0,,,455000.0
H09909-04-01,966500.0,,,966500.0
H09910-04-01,733000.0,,,733000.0
H10002-04-01,3328000.0,,,3328000.0
H10003-04-01,4460000.0,,,4460000.0
H10004-04-01,6325000.0,,60000.0,6385000.0
H10007-04-01,6513000.0,,,6513000.0
H10009-04-01,1987500.0,,,1987500.0
H10009-04-02,455000.0,,,455000.0
H10010-04-01,2488000.0,,380000.0,2868000.0
H10011-04-01,3325000.0,,,3325000.0
H10201-04-01,1330000.0,10000.0,50000.0,1390000.0
H10201-04-02,664000.0,,,664000.0
H10205-04-01,930000.0,,,930000.0
H10207-04-01,1831500.0,,,1831500.0
H10209-04-01,45000.0,,10000.0,55000.0
H10210-04-01,450000.0,,,450000.0
H10303-04-01,265300.0,,,265300.0
H10304-04-01,25408500.0,,,25408500.0
H10306-04-01,175000.0,,,175000.0
H10309-04-01,1757000.0,,,1757000.0
H10311-04-01,7492000.0,,,7492000.0
H10312-04-01,2365000.0,,,2365000.0
H10701-04-01,260000.0,15000.0,,275000.0
H10701-04-02,85000.0,,,85000.0
H10701-04-03,108000.0,,,108000.0
H10702-04-01,60000.0,45000.0,918600.0,1023600.0
H10703-04-01,202200.0,45000.0,65500.0,312700.0
H10704-04-01,2273600.0,,,2273600.0
H10704-04-02,365100.0,,,365100.0
H10706-04-01,182000.0,,87000.0,269000.0
H10706-04-02,293500.0,,90000.0,383500.0
H10707-04-01,241000.0,,,241000.0
H10708-04-01,1950900.0,,30000.0,1980900.0
H10709-04-01,313000.0,,,313000.0
H10710-04-01,813000.0,,185500.0,998500.0
H10710-04-02,365000.0,,,365000.0
H10710-04-03,1263000.0,,,1263000.0
H10710-04-04,372500.0,,,372500.0
H10710-04-05,147000.0,,,147000.0
H10801-04-01,151500.0,,,151500.0
H10802-04-01,753000.0,,802500.0,1555500.0
H10803-04-01,471200.0,,,471200.0
H10803-04-02,162500.0,,,162500.0
H10803-04-03,146000.0,,,146000.0
H10804-04-01,803600.0,,,803600.0
H10805-04-01,87000.0,,,87000.0
H10806-04-01,340200.0,,,340200.0
H10807-04-01,479000.0,,,479000.0
H10807-04-02,116000.0,,,116000.0
H10809-04-01,138800.0,,,138800.0
H10810-04-01,271000.0,,,271000.0
H10904-04-01,294700.0,,,294700.0
H10905-04-01,480800.0,,,480800.0
H10906-04-01,166900.0,,5000.0,171900.0
H10908-04-01,175000.0,,,175000.0
H10909-04-01,4846400.0,,,4846400.0
H10909-04-02,804500.0,,,804500.0
H10909-04-03,359000.0,,,359000.0
H10909-04-04,1668000.0,,,1668000.0
H10910-04-01,1022500.0,,,1022500.0
H11001-04-01,310900.0,,,310900.0
H11002-04-01,666500.0,,,666500.0
H11003-04-01,113000.0,,,113000.0
H11006-04-01,103800.0,,,103800.0
H11007-04-01,167500.0,,,167500.0
H11009-04-01,86800.0,,228000.0,314800.0
H11010-04-01,160000.0,,,160000.0
H11011-04-01,96000.0,,,96000.0
H11403-04-01,1610500.0,,,1610500.0
H11405-04-01,1942600.0,,,1942600.0
H11406-04-01,245000.0,,50000.0,295000.0
H11409-04-01,4837000.0,,,4837000.0
H11410-04-01,1158000.0,,10000.0,1168000.0
H11414-04-01,4022000.0,,,4022000.0
H11501-04-01,1099500.0,,,1099500.0
H11502-04-01,650500.0,,,650500.0
H11502-04-02,434000.0,,86800.0,520800.0
H11504-04-01,455500.0,,,455500.0
H11505-04-01,1149200.0,,12000.0,1161200.0
H11506-04-01,176000.0,,55000.0,231000.0
H11506-04-03,4135000.0,,800000.0,4935000.0
H11507-04-01,310000.0,,,310000.0
H11509-04-01,37570000.0,,,37570000.0
H11510-04-01,7139000.0,,3700000.0,10839000.0
H11801-04-01,3000.0,,,3000.0
H11804-04-01,604200.0,,,604200.0
H11805-04-01,203000.0,,,203000.0
H11806-04-01,571000.0,,,571000.0
H11807-04-01,459000.0,,,459000.0
H11808-04-01,344800.0,,30000.0,374800.0
H11808-04-02,1923300.0,,,1923300.0
H11809-04-01,229300.0,,,229300.0
H11810-04-01,1646000.0,,,1646000.0
H11901-04-01,1145000.0,,,1145000.0
H11902-04-01,124000.0,,17500.0,141500.0
H11903-04-01,2453500.0,,,2453500.0
H11903-04-02,486000.0,,,486000.0
H11905-04-01,86000.0,,271500.0,357500.0
H11907-04-01,2263000.0,,,2263000.0
H11908-04-01,790000.0,,,790000.0
