profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls,hh
,384931.28205128206,-2000.0,384931.28205128206,382931.28205128206,H04011-04-01
,947089.7435897436,1477400.0,947089.7435897436,2424489.7435897435,H04201-04-01
638115.6462585034,1103294.8725399298,374760.68376068375,1741410.5187984332,2116171.202559117,H04203-04-01
364000.0,762812.8205128205,-25000.0,1126812.8205128205,1101812.8205128205,H04204-04-01
,271855.12820512825,295760.68376068375,271855.12820512825,567615.811965812,H04205-04-01
48000.0,96000.0,-11000.0,144000.0,133000.0,H04206-04-01
492000.0,478017.3076923077,,970017.3076923077,970017.3076923077,H04207-04-01
538000.0,125333.33333333334,,663333.3333333334,663333.3333333334,H04208-04-02
,1404166.6666666665,88600.0,1404166.6666666665,1492766.6666666665,H04209-04-01
,536794.8750234568,,536794.8750234568,536794.8750234568,H04210-04-01
3702000.0,407166.6666666667,1014327.6313114199,4109166.6666666665,5123494.297978086,H04509-04-01
,350833.33402872086,154380.34188034188,350833.33402872086,505213.67590906273,H04602-04-01
349499.9992400408,695000.0,171000.0,1044499.9992400408,1215499.9992400408,H04603-04-01
95892.85714285714,185500.0014901161,,281392.8586329732,281392.8586329732,H04604-04-01
272499.99982118607,428166.6666666667,,700666.6664878528,700666.6664878528,H04606-04-01
850023.8095238095,1336666.6666666665,1332642.735042735,2186690.4761904757,3519333.2112332107,H04606-04-02
602500.0,684999.999925494,,1287499.999925494,1287499.999925494,H04608-04-01
601499.9988824128,1164000.0,-12000.0,1765499.998882413,1753499.998882413,H04609-04-01
1122800.0002384186,1779333.3333333333,248760.68376068375,2902133.3335717516,3150894.0173324356,H04610-04-01
1190000.0,130150.0,892782.0512820513,1320150.0,2212932.051282051,H04610-04-03
405000.0,792282.0512820513,,1197282.0512820513,1197282.0512820513,H04802-04-02
613500.0,1273461.5373439514,889266.6666666666,1886961.5373439514,2776228.204010618,H04803-04-02
1251428.5714285714,,160380.34188034188,1251428.5714285714,1411808.9133089134,H04804-04-01
318000.0,965500.0,,1283500.0,1283500.0,H04805-04-01
263000.0,627500.0007450581,690760.6837606838,890500.0007450581,1581260.6845057418,H04806-04-01
126000.0,122833.33333333334,,248833.33333333334,248833.33333333334,H04807-04-01
300428.5714285714,881499.9977648256,339000.0,1181928.569193397,1520928.569193397,H04808-04-01
29999.999463558197,31500.0,,61499.9994635582,61499.9994635582,H04810-04-01
234400.00035762787,892000.0,,1126400.0003576279,1126400.0003576279,H04903-04-01
1412000.0017881393,1081333.3368102708,,2493333.33859841,2493333.33859841,H04905-04-01
350000.0,747333.331098159,-12000.0,1097333.3310981588,1085333.3310981588,H04907-04-01
2140095.238095238,1500025.6410256412,,3640120.879120879,3640120.879120879,H04908-04-01
,,20600.0,,20600.0,H04909-04-01
3064000.0017881393,3933333.332960804,-5000.0,6997333.334748943,6992333.334748943,H04910-04-01
1275000.0035762787,,152000.0,1275000.0035762787,1427000.0035762787,H04912-04-01
100100.0,174698.71794871797,,274798.717948718,274798.717948718,H04913-04-01
120000.0,154833.33333333334,-25000.0,274833.3333333334,249833.33333333337,H04913-04-02
74700.0,116666.66666666667,-18000.0,191366.6666666667,173366.6666666667,H04913-04-03
666000.0,495833.3333333334,-56000.0,1161833.3333333335,1105833.3333333335,H04913-04-05
398000.00035762787,253166.6668156783,,651166.6671733062,651166.6671733062,H04913-04-06
,1092166.6666666665,550000.0,1092166.6666666665,1642166.6666666665,H05002-04-01
183000.0,570000.0,-2000.0,753000.0,751000.0,H05003-04-01
,1003458.3347241085,,1003458.3347241085,1003458.3347241085,H05004-04-01
123000.00035762787,342166.6666666667,,465166.66702429455,465166.66702429455,H05005-04-01
144500.0,333730.76923076925,,478230.76923076925,478230.76923076925,H05006-04-01
485709.5238095238,,,485709.5238095238,485709.5238095238,H05007-04-01
440773.8095238095,463500.0,,904273.8095238095,904273.8095238095,H05008-04-01
682057.1428571428,528666.6666666667,,1210723.8095238097,1210723.8095238097,H05009-04-01
779000.0,1282250.0002086165,,2061250.0002086165,2061250.0002086165,H05010-04-01
296000.0025828679,624128.2051282051,856000.0,920128.2077110731,1776128.207711073,H05101-04-01
374000.0,760304.4906698931,263912.24669603526,1134304.490669893,1398216.7373659285,H05102-04-01
,208333.33333333334,,208333.33333333334,208333.33333333334,H05103-04-01
60000.0,728333.3333333334,,788333.3333333334,788333.3333333334,H05105-04-01
,467950.00183781,804000.0,467950.00183781,1271950.00183781,H05106-04-01
69000.0,183000.0,,252000.0,252000.0,H05107-04-01
177500.0,218250.0,160380.34188034188,395750.0,556130.3418803419,H05108-04-01
75000.0,145833.33333333334,,220833.33333333334,220833.33333333334,H05109-04-01
4432185.714285714,1162308.9743589745,191580.34188034188,5594494.688644689,5786075.030525031,H05302-04-01
1603095.238095238,2835833.3333333335,,4438928.571428572,4438928.571428572,H05303-04-01
350200.0,,-30000.0,350200.0,320200.0,H05304-04-01
1497333.3333333333,1351397.4371391993,554800.0,2848730.7704725326,3403530.7704725326,H05305-04-01
100000.0,,-9000.0,100000.0,91000.0,H05305-04-02
923428.5785811292,527076.9208417487,702000.0,1450505.499422878,2152505.499422878,H05305-04-03
,273721.1538461539,,273721.1538461539,273721.1538461539,H05306-04-01
1762476.1904761903,1375666.6681567826,1409536.7400881057,3138142.858632973,4547679.598721079,H05308-04-01
1414500.0,,,1414500.0,1414500.0,H05309-04-01
659000.0,396666.6666666667,,1055666.6666666667,1055666.6666666667,H05310-04-01
,,249600.0,,249600.0,H05310-04-02
,1507653.8447009828,1197380.341880342,1507653.8447009828,2705034.186581325,H05403-04-01
1006307.1442876544,280690.4761904762,,1286997.6204781306,1286997.6204781306,H05404-04-01
288000.0,332250.0,,620250.0,620250.0,H05405-04-01
292000.0,432500.0,,724500.0,724500.0,H05407-04-01
2944095.238095238,1840123.6294094517,160380.34188034188,4784218.86750469,4944599.209385032,H05409-04-01
1043533.3320717015,1515487.179263662,14000.0,2559020.5113353636,2573020.5113353636,H05410-04-01
863000.0,559183.3333333334,500000.0,1422183.3333333335,1922183.3333333335,H05412-04-01
505500.0,468615.3834977974,-10000.0,974115.3834977974,964115.3834977974,H05412-04-02
100000.0,272500.0,-4000.0,372500.0,368500.0,H05701-04-01
390000.0,1324499.9991307657,352000.0,1714499.9991307657,2066499.9991307657,H05702-04-01
1327000.0,956192.3084373658,550000.0,2283192.308437366,2833192.308437366,H05703-04-01
520114.28607191355,530000.0,,1050114.2860719135,1050114.2860719135,H05704-04-01
706000.0,658433.2587694085,,1364433.2587694083,1364433.2587694083,H05706-04-01
446000.0,461666.6666666667,,907666.6666666667,907666.6666666667,H05707-04-01
491999.99624490744,228881.4102564103,347580.3418803419,720881.4065013177,1068461.7483816596,H05709-04-01
,,-20000.0,,-20000.0,H05710-04-01
648071.4294654982,354833.3333333334,313760.68376068375,1002904.7627988316,1316665.4465595153,H05711-04-01
