,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays
876,1.0,38.0,,,17.0,1.0,H04606-04-01,0.0,17.0,
885,1.0,67.0,,,17.0,1.0,H04606-04-02,0.0,22.0,
895,2.0,49.0,,,30.0,1.0,H04607-04-01,1.0,,5.0
899,1.0,33.0,,,30.0,1.0,H04608-04-01,0.0,16.0,14.0
903,2.0,38.0,,,30.0,0.0,H04609-04-01,0.0,32.0,7.0
909,1.0,69.0,,,17.0,0.0,H04610-04-01,0.0,16.0,
916,1.0,20.0,2.0,19.0,17.0,0.0,H04610-04-02,0.0,15.0,
917,1.0,23.0,2.0,19.0,17.0,0.0,H04610-04-03,0.0,16.0,
918,1.0,34.0,8.0,1.0,28.0,0.0,H04801-04-01,1.0,12.0,14.0
924,1.0,60.0,,,17.0,0.0,H04802-04-01,1.0,,6.0
927,1.0,31.0,,,17.0,1.0,H04802-04-02,0.0,15.0,
931,1.0,27.0,,1.0,17.0,1.0,H04802-04-03,0.0,51.0,
934,2.0,65.0,,,17.0,,H04803-04-02,0.0,,10.0
937,2.0,54.0,,,17.0,1.0,H04804-04-01,0.0,16.0,14.0
939,2.0,71.0,,,30.0,0.0,H04805-04-01,1.0,,30.0
941,1.0,33.0,,,17.0,0.0,H04806-04-01,0.0,33.0,
950,1.0,74.0,,,32.0,0.0,H04807-04-01,0.0,16.0,
951,1.0,60.0,,,17.0,1.0,H04808-04-01,0.0,15.0,
958,2.0,26.0,,4.0,17.0,1.0,H04808-04-02,0.0,51.0,
959,2.0,54.0,,,30.0,1.0,H04810-04-01,0.0,12.0,7.0
962,1.0,42.0,,19.0,17.0,0.0,H04903-04-01,0.0,15.0,7.0
970,1.0,65.0,,,28.0,1.0,H04905-04-01,1.0,,6.0
977,1.0,56.0,,,17.0,1.0,H04907-04-01,0.0,16.0,10.0
987,1.0,39.0,,,17.0,1.0,H04908-04-01,0.0,13.0,4.0
998,1.0,44.0,,,17.0,1.0,H04909-04-01,0.0,15.0,
1007,1.0,53.0,,,17.0,1.0,H04910-04-01,0.0,14.0,
1018,1.0,33.0,,,28.0,1.0,H04912-04-01,0.0,17.0,7.0
1024,2.0,63.0,,,32.0,1.0,H04913-04-01,0.0,13.0,7.0
1027,1.0,26.0,14.0,19.0,25.0,0.0,H04913-04-02,0.0,13.0,7.0
1030,1.0,27.0,73.0,19.0,25.0,1.0,H04913-04-03,0.0,16.0,
1034,1.0,21.0,,19.0,25.0,0.0,H04913-04-04,0.0,13.0,
1035,1.0,49.0,,,25.0,1.0,H04913-04-05,1.0,,7.0
1040,1.0,39.0,,,17.0,,H04913-04-06,0.0,15.0,
1050,2.0,84.0,,,30.0,1.0,H05002-04-01,1.0,,14.0
1053,1.0,43.0,,,28.0,1.0,H05003-04-01,0.0,12.0,7.0
1060,1.0,17.0,,19.0,28.0,0.0,H05003-04-02,0.0,32.0,
1061,2.0,51.0,2.0,10.0,17.0,1.0,H05004-04-01,0.0,16.0,10.0
1066,2.0,69.0,,,30.0,0.0,H05005-04-01,1.0,,
1071,2.0,55.0,13.0,10.0,28.0,1.0,H05006-04-01,0.0,16.0,14.0
1079,1.0,44.0,,,17.0,1.0,H05007-04-01,0.0,34.0,
1089,2.0,50.0,,,30.0,1.0,H05008-04-01,0.0,15.0,3.0
1092,2.0,53.0,,,17.0,1.0,H05009-04-01,0.0,34.0,6.0
1098,1.0,44.0,,,25.0,1.0,H05010-04-01,0.0,17.0,7.0
1105,2.0,54.0,,,17.0,1.0,H05101-04-01,0.0,17.0,4.0
1111,1.0,40.0,,,96.0,1.0,H05102-04-01,0.0,14.0,
1117,1.0,36.0,,19.0,17.0,0.0,H05103-04-01,0.0,14.0,
1123,2.0,33.0,,,17.0,1.0,H05104-04-01,0.0,15.0,20.0
1124,1.0,53.0,41.0,19.0,17.0,1.0,H05105-04-01,0.0,34.0,
1133,2.0,58.0,,,17.0,0.0,H05106-04-01,0.0,34.0,16.0
1141,1.0,56.0,,,17.0,0.0,H05107-04-01,0.0,17.0,21.0
1144,1.0,39.0,,,17.0,0.0,H05108-04-01,0.0,14.0,5.0
1151,2.0,62.0,,,17.0,0.0,H05109-04-01,0.0,15.0,7.0
