region,urban,year,month,sregion,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_net,profit_agrb,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation,familysize,shock,climate,prices,job,health,aggregate,idiosyn,pests,d_shock,d_climate,d_prices,d_job,d_health,d_aggregate,d_idiosyn,d_pests,sex,age,father_educ,father_ocup,ethnic,bednet,writeread,classeduc,illdays,hh,wave,age_sq,region2,region3,region4,female,lnc,lnctotal_dur,lnctotal_gift,lncfood,lncnodur,lnwage_total,lnbs_profit,lnother_net,lnprofit_agrb,lnprofit_ls,lnprofit_agr,lntotal_agrls,lny,lninctotal_trans,u_c,u_y
1,1,2013,10,1,1.0757810432021624,1324.7921001057825,1365.9358278539958,12.93601920467836,747.4144429369718,577.3776571688107,1509.2022405458085,,,,,,,1509.2022405458085,1509.2022405458085,1.0,1,,0,,0,worker,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,,,30.0,0.0,0.0,16.0,,1021000203.0,2013-2014,3844.0,0,0,0,1,7.266017704067497,7.295587319327991,2.560015606865414,6.680794312094122,6.367418563163457,7.323641099281145,,,,,,,7.963693489071277,8.239495901961606,-0.44881044537291626,
1,1,2014,4,1,1.0965546293128212,984.6065057123317,990.5994561588443,31.727384716831313,681.927255513761,302.67925019857074,507.638155469301,,-17.626324842684063,,,,,507.638155469301,490.01183062661687,1.0,1,,0,,0,worker,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,,,17.0,0.0,0.0,16.0,7.0,1021000204.0,2013-2014,1600.0,0,0,0,0,6.994534138900201,7.001651601443391,3.457180179154688,6.59504896471238,5.729624533308529,6.242512543220718,,7.667802351044319,,,,,7.535353747958693,7.926039292475953,-0.7087813683113593,
1,1,2013,10,1,1.0757810432021624,2087.226698674853,2263.1924932451584,9.342680536712148,1219.2198100409353,868.0068886339178,620.9289218245611,61.086757355425576,-0.7186677335932421,,,,,682.0156791799867,681.2970114463935,0.9104320337197049,1,,0,0.08956796628029505,0,worker,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,,,17.0,1.0,0.0,15.0,14.0,1021000207.0,2013-2014,1764.0,0,0,0,1,7.693151439730316,7.771083489531412,2.2345932064307856,7.145793162024451,6.772143204743898,6.4416472147765065,7.26301804209054,7.675678027718258,,,,,7.624367183467157,7.992851725660217,0.012619027344596745,
1,1,2014,4,1,1.0965546293128212,3608.6727376923936,4037.274452567099,0.0,2037.5326465149067,1571.1400911774867,9949.707847198299,421.2691637401491,,,,,,10370.977010938448,10370.977010938448,0.9593799925218396,1,,0,0.04062000747816037,0,worker,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,3.0,19.0,17.0,0.0,0.0,32.0,5.0,1021000212.0,2013-2014,2704.0,0,0,0,1,8.220059041126145,8.329687223298484,-inf,7.64351649193407,7.3628448056231575,9.20595259996933,7.488146810256266,,,,,,9.370454296672037,9.445365478041397,0.3201071639395323,
1,1,2014,4,1,1.0965546293128212,15482.681720616196,16288.909818920567,0.0,5677.227715930424,9805.454004685773,,881.3162421342031,-423.03179622441746,,,,,881.3162421342031,458.28444590978563,,0,,0,1.0,1,businessman,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,,,17.0,0.0,0.0,36.0,14.0,1021000213.0,2013-2014,3025.0,0,0,0,0,9.654303539898967,9.704838802700932,-inf,8.652906106173129,9.191221608853086,,7.717255555971996,7.457592789034352,,,,,7.717255555971996,7.914512732799087,1.4192985141908707,
1,1,2014,7,1,1.0747256362995772,4062.517870054347,6315.235931796275,202.43169809170635,2654.991713386854,1407.5261566674935,1942.3084038649865,,-107.90602243694369,,,,,1942.3084038649865,1834.4023814280426,1.0,1,,0,,0,worker,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,,,30.0,1.0,0.0,31.0,,1021000506.0,2013-2014,2500.0,0,0,0,0,8.33532756980833,8.767653395405128,5.3104025362761,7.902683113152139,7.253258445400348,7.574978805852613,,7.624666435396352,,,,,8.10403167107161,8.321866788346652,0.2819394189904436,
1,1,2014,2,1,1.0731904059908903,1935.0012969769239,4055.1460538656384,345.7932325200758,1245.5760396400228,689.425257336901,1303.4783960229418,151.28453922753314,,,,,,1454.762935250475,1454.762935250475,0.8960074280408542,1,,0,0.10399257195914577,0,worker,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,,,17.0,0.0,0.0,23.0,,1021000604.0,2013-2014,2116.0,0,0,0,0,7.6212197860607285,8.333989434451889,5.845841002554724,7.16635360419241,6.543335658044917,7.1777739816812955,7.32432729838743,,,,,,7.944574298529814,8.225018692295846,-0.22867157219891077,
1,1,2014,8,1,1.0868319920274512,6132.210268748068,6591.749017948947,0.0,2443.238061927766,3688.972206820302,128.044852718511,248.97610250821583,533.5202196604625,,,,,377.02095522672687,910.5411748871894,0.33962264150943394,1,,0,0.660377358490566,1,businessman,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,,,17.0,1.0,0.0,32.0,,1021000607.0,2013-2014,2601.0,0,0,0,1,8.73845645264367,8.809802418129019,-inf,7.821152030606568,8.214504849874695,4.901976066101159,7.386746397192186,7.89711928977733,,,,,7.463070202332322,8.06745307903199,0.5733945259458615,
1,1,2014,2,1,1.0731904059908903,1926.500546677472,2423.4702580399185,77.80347731701704,848.4901442961359,1078.010402381336,172.8966162600379,43.22415406500947,,,,,,216.12077032504732,216.12077032504732,0.8,1,,0,0.2,0,worker,7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,73.0,14.0,17.0,1.0,0.0,12.0,,1021000610.0,2013-2014,2704.0,0,0,0,0,7.617046198505078,7.836494864426794,4.354186125777006,6.800200792278473,6.987660878853635,5.189657921348016,7.250417495155459,,,,,,7.366185610321958,7.821863238149256,-0.20154951641820062,
1,1,2014,2,1,1.0731904059908903,7658.037783749082,9367.553077020208,0.0,2805.2620068704696,4852.775776878613,2377.3284735755205,549.3069579094954,-36.02012838750789,,,,,2926.6354314850164,2890.6153030975083,0.8123076923076923,1,,0,0.18769230769230769,0,worker,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,,,17.0,1.0,0.0,51.0,,1021000612.0,2013-2014,3721.0,0,0,0,0,8.957264116746575,9.156454190192418,-inf,7.956756875534918,8.488371855199226,7.776467504255368,7.557355741611653,7.659163382913528,,,,,8.364532363780677,8.550442950831822,0.6136166260460438,
