,hh,profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls
206,83020402,898000.0,447761.90535795124,,1345761.9053579513,1345761.9053579513
207,83020403,514500.0,930647.435897436,,1445147.435897436,1445147.435897436
208,83020404,282214.2857142857,195000.0,-9000.0,477214.2857142857,468214.2857142857
209,83030401,2561000.0,4483666.668156782,1300000.0,7044666.668156782,8344666.668156782
210,83040401,56000.0,365500.00173846877,,421500.00173846877,421500.00173846877
211,83070403,591000.0,504166.6666666667,434585.1771527543,1095166.6666666667,1529751.843819421
212,83080401,82466.66666666667,527999.9973922968,-14000.0,610466.6640589634,596466.6640589634
213,83090401,92000.0,133706.6666666667,,225706.6666666667,225706.6666666667
214,83100401,226333.33333333334,115833.33333333334,,342166.6666666667,342166.6666666667
215,84020401,1288750.0,941333.3333333334,520000.0,2230083.3333333335,2750083.3333333335
216,84040401,1044000.0017881393,1112500.0099341078,104000.0,2156500.011722247,2260500.011722247
217,84050401,2649000.0,3793683.333333333,-85000.0,6442683.333333333,6357683.333333333
218,84060401,1668000.0,1101666.6670143604,516000.0,2769666.6670143604,3285666.6670143604
219,84060404,2690000.0,,,2690000.0,2690000.0
220,84080401,,718333.3333333334,,718333.3333333334,718333.3333333334
221,84090401,1129500.0,1643333.3333333333,,2772833.333333333,2772833.333333333
222,84090402,2725571.4321477073,1961666.6666666667,1290800.0,4687238.098814374,5978038.098814374
223,84100401,252500.0,486630.76923076925,,739130.7692307692,739130.7692307692
224,85010401,122000.0,121916.66666666667,,243916.6666666667,243916.6666666667
225,85020401,511000.0007152557,910333.3333333334,,1421333.334048589,1421333.334048589
226,85030401,,562993.5880374066,,562993.5880374066,562993.5880374066
227,85030403,79000.0,248000.0001490116,101000.0,327000.0001490116,428000.0001490116
228,85040401,194000.0,143000.0,62400.0,337000.0,399400.0
229,85050401,,578918.9756255731,624000.0,578918.9756255731,1202918.9756255732
230,85060401,565595.2385621411,254743.58974358975,,820338.8283057308,820338.8283057308
231,85070401,,341250.0009685755,,341250.0009685755,341250.0009685755
232,85080401,877500.0001788139,105000.0,168458.82352941175,982500.0001788139,1150958.8237082257
233,85090401,71000.0,229833.33333333334,,300833.3333333334,300833.3333333334
234,85100401,,288375.0019930304,,288375.0019930304,288375.0019930304
235,86020401,,131113.33333333334,,131113.33333333334,131113.33333333334
236,86020402,,82333.33333333334,,82333.33333333334,82333.33333333334
237,86020403,189666.66666666666,183771.79487179487,146380.34188034188,373438.4615384615,519818.8034188034
238,86030401,2106095.224584849,1088809.5238095238,335000.0,3194904.748394373,3529904.748394373
239,86050401,612333.3333333334,236020.0,-8000.0,848353.3333333334,840353.3333333334
240,86090401,280000.0,461666.6666666667,-65000.0,741666.6666666667,676666.6666666667
241,86110401,404571.4285714286,694333.3333333334,,1098904.761904762,1098904.761904762
242,87010401,230000.0,302166.6666666667,,532166.6666666667,532166.6666666667
243,87030401,269000.0,651666.6666666666,,920666.6666666666,920666.6666666666
244,87040401,-30000.0,457500.0,,427500.0,427500.0
245,87060401,276428.5714285714,192166.6666666667,,468595.2380952381,468595.2380952381
246,87070401,60000.0,1223214.2857142857,,1283214.2857142857,1283214.2857142857
247,87080401,174000.0,152000.0,,326000.0,326000.0
248,87080402,800000.0017881393,754666.6645805042,1499600.0,1554666.6663686435,3054266.6663686438
249,87090401,370500.0,95000.0,,465500.0,465500.0
250,87100401,1170000.0,3230261.9050052906,,4400261.905005291,4400261.905005291
251,88010401,,1065000.0,214995.77889447237,1065000.0,1279995.7788944724
252,88020401,234000.0,305698.71794871794,320760.68376068375,539698.717948718,860459.4017094017
253,88020402,502500.0,807256.4113143927,,1309756.4113143927,1309756.4113143927
254,88030401,,197750.0,443473.48017621145,197750.0,641223.4801762115
255,88040401,234750.0,334000.0,,568750.0,568750.0
256,88050401,,236400.0,,236400.0,236400.0
257,88060401,252666.66666666663,785685.8940831359,94258.82352941176,1038352.5607498025,1132611.3842792143
258,88110401,1777952.380952381,1141500.0,1055882.0512820513,2919452.380952381,3975334.4322344325
259,90030401,44000.0,519294.87179487175,,563294.8717948718,563294.8717948718
260,90050401,403500.0,636166.6666666667,,1039666.6666666667,1039666.6666666667
261,90070401,707071.4285714286,905828.2051282052,1181000.0,1612899.6336996339,2793899.633699634
262,90080401,1833000.0,,1550000.0,1833000.0,3383000.0
263,90100401,2935000.000357628,1282500.0,,4217500.000357628,4217500.000357628
264,91010401,70000.0,264875.0,,334875.0,334875.0
265,91020401,1293500.0,1903394.358974359,69500.0,3196894.358974359,3266394.358974359
266,91030401,566500.0,2718750.010430813,993776.2202667436,3285250.010430813,4279026.230697556
267,91050401,611800.0,2098050.0,,2709850.0,2709850.0
268,91080401,,4049461.5384615385,-40000.0,4049461.5384615385,4009461.5384615385
269,91090401,185600.0,812625.0,,998225.0,998225.0
270,91100401,1572776.1904761905,3593717.9487179485,,5166494.139194139,5166494.139194139
271,91110401,448714.2857142857,709961.5392065966,,1158675.8249208822,1158675.8249208822
272,92030401,,125166.66562358529,529541.0256410256,125166.66562358529,654707.691264611
273,92060401,289600.0,310333.3329608043,,599933.3329608042,599933.3329608042
274,92080401,572500.0028063853,1227500.0,591297.973568282,1800000.0028063853,2391297.976374667
275,92100401,1068571.4285714286,1695000.0,228760.68376068375,2763571.4285714286,2992332.112332112
276,94100401,,341500.0,,341500.0,341500.0
277,100020401,66450.0,38500.0,,104950.0,104950.0
278,100040401,165000.0,30000.0,1641200.0,195000.0,1836200.0
279,100100401,,448000.0,,448000.0,448000.0
280,103110401,,17630.76923076923,,17630.76923076923,17630.76923076923
281,107010401,300000.00186264527,560192.3091824239,220736.74008810573,860192.3110450691,1080929.051133175
282,107020401,,172666.6666666667,,172666.6666666667,172666.6666666667
283,107030401,547666.6671633719,1458461.5384156886,-4500.0,2006128.2055790606,2001628.2055790606
284,107040401,476999.99216198886,130000.0,,606999.9921619889,606999.9921619889
285,107040402,373000.00149011624,412833.3333333334,,785833.3348234496,785833.3348234496
286,107060401,655666.6647791862,1230525.6387904668,302122.38283930667,1886192.303569653,2188314.68640896
287,107060402,875000.0,570128.2051282051,209995.77889447237,1445128.205128205,1655123.9840226774
288,107080401,72000.0,265288.4615384615,778000.0,337288.4615384615,1115288.4615384615
289,107090401,518000.00149011624,554999.9977648256,,1072999.999254942,1072999.999254942
290,107100401,150000.0,,-70000.0,150000.0,80000.0
291,108010401,79000.0,91333.33386232455,-1000.0,170333.33386232454,169333.33386232454
292,108020401,506000.00044703484,533333.3353201546,-2200.0,1039333.3357671894,1037133.3357671894
293,108030401,307000.0,,484000.0,307000.0,791000.0
294,108030403,167000.0,,599909.6705448248,167000.0,766909.6705448248
295,108040401,-16000.0,72600.0,-79600.0,56600.0,-23000.0
296,108050401,325000.00178813934,835000.0007450581,299658.82352941175,1160000.0025331974,1459658.8260626092
297,108060401,9999.99962747097,77500.0,,87499.99962747097,87499.99962747097
298,108070401,1590000.0,,,1590000.0,1590000.0
299,108090401,,35500.0,-2900.0,35500.0,32600.0
300,109050401,117000.00096857546,809269.229502632,-2900.0,926269.2304712075,923369.2304712075
301,109090401,501000.0,571333.3333333333,1229797.8894472362,1072333.3333333333,2302131.2227805695
302,109100401,220000.0,427500.0,,647500.0,647500.0
303,110020401,390000.00186264515,213000.0,160280.34188034188,603000.0018626451,763280.343742987
304,110060401,111000.0,,,111000.0,111000.0
305,110070401,903333.3346247673,,,903333.3346247673,903333.3346247673
306,110090401,,248500.0,,248500.0,248500.0
307,110100401,175999.9986588955,177500.0,,353499.9986588955,353499.9986588955
308,110110401,640000.0,,,640000.0,640000.0
309,115020401,-95750.0,150000.0,,54250.0,54250.0
310,115040401,-6000.0,44076.92307692308,,38076.92307692308,38076.92307692308
311,115050401,240000.0017881393,824999.9973922968,530000.0,1064999.9991804361,1594999.9991804361
312,115100401,,,,,
313,118010401,,250000.0,624000.0,250000.0,874000.0
314,118040401,675000.0,350000.0,-1000.0,1025000.0,1024000.0
315,118050401,,,-100.0,,-100.0
316,118060401,122400.0,146666.66443149227,,269066.6644314923,269066.6644314923
317,118080401,785833.3368475238,331794.871749022,50712.24669603525,1117628.2085965457,1168340.4552925809
318,118090401,288000.0,,311900.0,288000.0,599900.0
319,118100401,73000.0,664333.3348234495,37800.0,737333.3348234495,775133.3348234495
320,119010401,165000.0002682209,358557.69007251796,432300.0,523557.69034073886,955857.6903407389
321,119070401,-163500.0,113671.15384615384,-18000.0,-49828.846153846156,-67828.84615384616
322,119080401,76250.00149011606,985384.6161296734,-2500.0,1061634.6176197894,1059134.6176197894
323,119100401,129500.0,639000.0,626200.0,768500.0,1394700.0
324,120030402,240000.0,105000.0,171097.8894472362,345000.0,516097.8894472362
325,120050401,795000.0131130223,1358942.309182424,79000.0,2153942.3222954464,2232942.3222954464
326,120060401,,75833.33333333334,,75833.33333333334,75833.33333333334
327,120070401,200000.00074505806,437500.0014901161,,637500.0022351742,637500.0022351742
328,120080401,1006000.0007450581,876692.3123116677,895600.0,1882692.3130567258,2778292.313056726
329,120090401,120000.00074505806,257730.7699758273,,377730.77072088537,377730.77072088537
330,120100401,752000.0,208333.3329608043,,960333.3329608043,960333.3329608043
331,124090401,297333.3341653148,391528.8472714332,-200.0,688862.181436748,688662.181436748
332,124110401,48999.999441206455,,764300.0,48999.999441206455,813299.9994412065
333,125010401,144000.00074505806,225192.3076923077,,369192.30843736575,369192.30843736575
334,125020401,340999.99962747097,,,340999.99962747097,340999.99962747097
335,125040401,-12000.0,,,-12000.0,-12000.0
336,125060401,304714.28645934374,776089.7413545692,295648.986784141,1080804.0278139128,1376453.0145980539
337,125090401,,,,,
338,125100401,,475000.0,348000.0,475000.0,823000.0
339,125120401,,,,,
340,126010401,85000.00102818021,,,85000.00102818021,85000.00102818021
341,126040401,,,66412.24669603525,,66412.24669603525
342,126050401,764333.3359410368,1545493.5897435897,-53000.0,2309826.9256846267,2256826.9256846267
343,126070401,171000.0014901162,,-8000.0,171000.0014901162,163000.0014901162
344,126100401,240714.2843731812,323230.7728629272,,563945.0572361083,563945.0572361083
345,126100402,190000.0,168564.10405421868,-1000.0,358564.1040542187,357564.1040542187
346,126110401,955333.3333333334,404000.0,253000.0,1359333.3333333335,1612333.3333333335
347,127010401,98000.00074505806,271025.64102564106,-21000.0,369025.6417706991,348025.6417706991
348,127030401,64000.00074505806,,,64000.00074505806,64000.00074505806
349,127040401,33000.0,,,33000.0,33000.0
350,127050401,,198346.15384615387,-22750.0,198346.15384615387,175596.15384615387
351,127070401,62000.00074505805,141730.76923076925,,203730.7699758273,203730.7699758273
352,127090401,283999.9974519015,179961.53846153847,-4700.0,463961.53591343993,459261.53591343993
353,127100401,178000.0,466858.9743589744,441248.986784141,644858.9743589744,1086107.9611431153
354,128050401,1482000.0,,,1482000.0,1482000.0
355,128090401,,382500.0,,382500.0,382500.0
356,128090403,,,,,
357,128100401,199000.00018626451,255000.0,,454000.0001862645,454000.0001862645
358,128110401,228999.99718368024,,,228999.99718368024,228999.99718368024
359,128120401,471000.0,654692.3076923077,873600.0,1125692.3076923077,1999292.3076923077
360,129010401,310000.00223517435,103250.0,294800.0,413250.00223517435,708050.0022351744
361,129020402,,70642.30769230769,,70642.30769230769,70642.30769230769
362,129030401,695000.0050663948,1421000.0016192594,393108.57320791995,2116000.006685654,2509108.579893574
363,129040401,246666.66944821662,,-2100.0,246666.66944821662,244566.66944821662
364,129050401,197666.66666666663,,,197666.66666666663,197666.66666666663
365,129050402,589999.9988824129,350000.0,,939999.9988824129,939999.9988824129
366,129060401,1096666.6729748251,,,1096666.6729748251,1096666.6729748251
367,129070401,260000.00258286792,217666.66629413763,107447.88944723619,477666.6688770056,585114.5583242418
368,129080401,337000.0030100345,805096.1571989153,-56300.0,1142096.1602089498,1085796.1602089498
369,129090402,196000.00074505806,206499.9988824128,586350.0,402499.99962747085,988849.9996274709
370,129100401,,342788.4615384615,,342788.4615384615,342788.4615384615
371,130020401,773575.0,1465961.5384615385,403513.4259532959,2239536.5384615385,2643049.9644148345
372,130040401,,88461.53846153847,-4000.0,88461.53846153847,84461.53846153847
373,130050401,218400.0,,,218400.0,218400.0
374,130060401,230000.0,210192.3076923077,,440192.3076923077,440192.3076923077
375,130060402,1045666.6666666665,156500.0,143000.0,1202166.6666666665,1345166.6666666665
376,130060403,150000.0,484000.0,,634000.0,634000.0
377,130060404,,88750.0,,88750.0,88750.0
378,130060405,747999.9977648256,425500.0,,1173499.9977648256,1173499.9977648256
379,130060406,300000.0,705000.0,19000.0,1005000.0,1024000.0
380,130070401,200000.0,411480.76923076925,350000.0,611480.7692307692,961480.7692307692
381,130080401,412500.0,142000.0,700000.0,554500.0,1254500.0
382,130090401,160000.0,753461.5384615385,490200.0,913461.5384615385,1403661.5384615385
383,130100401,,239250.0,1077997.8894472362,239250.0,1317247.8894472362
384,131020401,140000.0,1065000.0,159780.34188034188,1205000.0,1364780.341880342
385,131020402,100000.0,329769.23076923075,,429769.23076923075,429769.23076923075
386,131030401,1915200.0029802325,1425192.3076923077,1696917.6470588236,3340392.31067254,5037309.957731364
387,131040401,330000.0,747500.0006258488,695000.0,1077500.0006258488,1772500.0006258488
388,131050401,105000.0,661807.6952879247,-9800.0,766807.6952879247,757007.6952879247
389,131060401,-5000.0,1669961.5384615385,,1664961.5384615385,1664961.5384615385
390,131070402,400000.0,295000.0,,695000.0,695000.0
391,131070403,,215000.0,,215000.0,215000.0
392,131070404,225000.0,,,225000.0,225000.0
393,131080401,300500.0,837642.3076923077,,1138142.3076923077,1138142.3076923077
394,131090401,586999.9980628489,1262820.5105853383,,1849820.5086481874,1849820.5086481874
395,132020401,,387192.3076923077,100000.0,387192.3076923077,487192.3076923077
396,132050404,767416.6666666666,209233.97510403243,,976650.6417706991,976650.6417706991
397,132080401,267000.0,,78000.0,267000.0,345000.0
398,132090401,531199.9987959861,,,531199.9987959861,531199.9987959861
399,133030401,731800.0000000001,166500.0,,898300.0000000001,898300.0000000001
400,133060401,348036.0073804859,,,348036.0073804859,348036.0073804859
401,133070402,,260000.0,,260000.0,260000.0
402,133080401,,150000.0,,150000.0,150000.0
403,133090401,,250000.0,-49050.0,250000.0,200950.0
404,133100401,130000.0,126666.66666666667,508824.4933920705,256666.6666666667,765491.1600587373
405,133100402,995000.00519678,460833.3378036816,,1455833.3430004616,1455833.3430004616
406,133100403,,,,,
407,133100404,484000.00074505806,,160380.34188034188,484000.00074505806,644380.3426253999
