age,aggregate,climate,cons_nd,d_aggregate,d_climate,d_health,d_idiosyn,d_job,d_pests,d_prices,d_shock,health,hh,hhsize,hhsize1,idiosyn,income_dis2,job,lnc,lny,pests,prices,region,reside,sex,shock,sregion,wave
33.0,0.0,0.0,7073158.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000811,,5.0,0.0,61765.65234375,0.0,7.9136061668396,3.172891139984131,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1021000904,,,0.0,,0.0,,,0.0,0.0,,,,1.0,,2009-2010
48.0,0.0,0.0,9645254.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1021000906,,2.0,1.0,511946.09375,0.0,8.223764419555664,5.2877631187438965,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
35.0,0.0,0.0,5194382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000909,,2.0,0.0,9086489.0,0.0,7.604876518249512,8.164087295532227,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001003,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001004,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
44.0,0.0,0.0,9426575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001005,,6.0,0.0,2350839.5,0.0,8.200831413269043,6.812071323394775,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
36.0,0.0,0.0,5731364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001007,,6.0,0.0,4644101.5,0.0,7.70325231552124,7.492897033691406,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
29.0,0.0,0.0,3824514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001008,,4.0,0.0,1127853.125,0.0,7.298730373382568,6.077614784240723,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
45.0,0.0,0.0,9291643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001009,,2.0,0.0,4776790.0,0.0,8.18641471862793,7.5210676193237305,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
38.0,0.0,0.0,3384809.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001011,,1.0,0.0,1728581.5,0.0,7.176596641540527,6.5046000480651855,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1021001102,,,1.0,,0.0,,,0.0,0.0,,,,1.0,,2009-2010
48.0,0.0,0.0,5733029.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100110201,,6.0,0.0,979309.375,0.0,7.703543186187744,5.936391353607178,0.0,0.0,2.0,1.0,1.0,0.0,,2009-2010
28.0,0.0,0.0,6048140.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021001105,,1.0,1.0,1847301.125,0.0,7.757049560546875,6.5710248947143555,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
49.0,1.0,1.0,15403122.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1021001107,,10.0,0.0,4671668.5,0.0,8.691868782043457,7.498815059661865,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021001109,,,1.0,,0.0,,,0.0,0.0,,,,1.0,1.0,2009-2010
