hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H02412-04-01,8408800.0,9256800.0,90000.0,90000.0,8318800.0,8318800.0,2400000.0,2400000.0,4404400.0,4004400.0,848000.0
H02507-04-01,11393600.0,20653600.0,360000.0,1440000.0,11033600.0,11033600.0,2400000.0,2400000.0,7584200.0,3809400.0,9260000.0
H02601-04-01,10099600.0,10757600.0,0.0,0.0,10099600.0,10099600.0,0.0,0.0,3296800.0,6802800.0,658000.0
H02601-04-02,12339600.0,14030600.0,208000.0,228000.0,12131600.0,12131600.0,0.0,0.0,4212000.0,8127600.0,1691000.0
H02602-04-01,16330000.0,19623500.0,182000.0,182000.0,16148000.0,16148000.0,180000.0,180000.0,11190400.0,5139600.0,3293500.0
H02608-04-01,5819600.0,6099600.0,166400.0,166400.0,5653200.0,5653200.0,1920000.0,1920000.0,3068000.0,2751600.0,280000.0
H02608-04-02,12898400.0,22593400.0,8640000.0,8640000.0,4258400.0,4258400.0,0.0,0.0,4035200.0,8863200.0,9695000.0
H02609-04-01,3771600.000309944,3842100.000309944,0.0,0.0,3771600.000309944,3771600.000309944,0.0,0.0,2082600.0003099442,1689000.0,70500.0
H02703-04-02,8598100.0,9958100.0,1430000.0,1430000.0,7168100.0,7168100.0,0.0,0.0,4010500.0,4587600.0,1360000.0
H02705-04-01,10708500.0,12553500.0,0.0,0.0,10708500.0,10708500.0,1200000.0,1200000.0,4332900.0,6375600.0,1845000.0
H02705-04-02,2125400.0,2298400.0,140400.0,140400.0,1985000.0,1985000.0,0.0,0.0,1250600.0,874800.0,173000.0
H02706-04-01,7514000.0,7792000.0,0.0,0.0,7514000.0,7514000.0,0.0,0.0,5314400.0,2199600.0,278000.0
H02710-04-01,8338200.0,8776200.0,827600.0,901600.0,6293800.0,6293800.0,4336800.0,4336800.0,4578600.0,3759600.0,438000.0
H02711-04-01,3869000.0,4055000.0,0.0,0.0,3739000.0,3739000.0,370000.0,370000.0,1547000.0,2322000.0,186000.0
H02711-04-02,6481600.0,9286100.0,0.0,240000.0,6481600.0,6481600.0,0.0,0.0,3281200.0,3200400.0,2804500.0
H02711-04-03,22135200.0,27982200.0,0.0,0.0,22135200.0,22135200.0,0.0,0.0,11388000.0,10747200.0,5847000.0
H02802-04-01,23390000.0,30590400.0,432000.0,432000.0,22958000.0,22958000.0,1800000.0,1950000.0,6110000.0,17280000.0,7200400.0
H02803-04-01,3135000.0,6393000.0,120000.0,2777000.0,3015000.0,3015000.0,1080000.0,1080000.0,1318200.0,1816800.0,3258000.0
H02811-04-01,4357000.0,9034000.0,0.0,0.0,4357000.0,4357000.0,1800000.0,1800000.0,1261000.0,3096000.0,4677000.0
H03001-04-01,7939800.0,9647800.0,300000.0,300000.0,7598200.0,7598200.0,2441600.0,2441600.0,3439800.0,4500000.0,1708000.0
H03003-04-01,38680764.0,40960764.0,0.0,0.0,38680764.0,38680764.0,6000000.0,6000000.0,7670364.0,31010400.0,2280000.0
H03005-04-01,10252100.0,10839100.0,0.0,0.0,9732100.0,9732100.0,7720000.0,7720000.0,2206100.0,8046000.0,587000.0
H03006-04-01,14270000.0,22291500.0,0.0,6666500.0,14270000.0,14270000.0,3600000.0,3600000.0,8044400.0,6225600.0,8021500.0
H03010-04-01,7222600.0,9163600.0,2964000.0,2964000.0,4258600.0,4258600.0,1200000.0,1200000.0,4412200.0,2810400.0,1941000.0
H03401-04-01,11158800.0,14603000.0,0.0,0.0,11158800.0,11158800.0,3600000.0,3600000.0,4461600.0,6697200.0,3444200.0
H03408-04-01,5036400.0,5909900.0,1256000.0,1266000.0,2896400.0,2896400.0,1604000.0,1604000.0,3650400.0,1386000.0,873500.0
H03409-04-01,11179600.0,18414600.0,1462000.0,8042000.0,9717600.0,9717600.0,1440000.0,1440000.0,6494800.0,4684800.0,7235000.0
H03409-04-02,6298400.0,6454600.0,156000.0,156000.0,6142400.0,6142400.0,0.0,0.0,4167800.0,2130600.0,156200.0
H03410-04-01,15766000.0,17986000.0,104000.0,104000.0,15246000.0,15246000.0,3836000.0,3836000.0,8569600.0,7196400.0,2220000.0
