,hh,profit_ls,profit_agr,total_agrls
97,1053002303.0,0.0,552755.5555555555,552755.5555555555
98,1053002305.0,997000.0,1622755.111111111,2619755.111111111
99,1053002306.0,0.0,1033009.0,1033009.0
100,1053002307.0,-6000.0,436509.0,430509.0
101,1053002308.0,105000.0,581426.6666666666,686426.6666666666
102,1053002309.0,0.0,439647.8888888889,439647.8888888889
103,1053002310.0,381400.0,941532.2222222222,1322932.2222222222
104,1053002602.0,-2400.0,272560.0,270160.0
105,1053002603.0,0.0,435622.22222222225,435622.22222222225
106,1053002605.0,-12000.0,274388.8888888889,262388.8888888889
107,1053002606.0,0.0,189541.66666666666,189541.66666666666
108,105300260602.0,0.0,85041.66666666667,85041.66666666667
109,1053002607.0,-60000.0,876725.0,816725.0
110,1053002608.0,0.0,494958.5794655414,494958.5794655414
