hh,urban,year,month,index,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation,sex,age,father_educ,father_ocup,ethnic,bednet,writeread,classeduc,illdays,region,wave,age_sq,shock,climate,prices,job,health,aggregate,idiosyn,pests,d_shock,d_climate,d_prices,d_job,d_health,d_aggregate,d_idiosyn,d_pests,familysize,region2,region3,region4,female,lnc,lnctotal_dur,lnctotal_gift,lncfood,lncnodur,lnwage_total,lnbs_profit,lnprofit_agr,lnprofit_ls,lntotal_agrls,lny,lninctotal_trans,u_c,u_y
205300090611,0,2011.0,3.0,980,0.8042809727532236,1867.4542857397432,1966.753213889697,0.0,1228.403681343912,639.0506043958312,1464.9716021348477,,2120000.0,945.8871761815552,360.1602136904938,1306.0473898720488,2771.018992006896,2771.018992006896,0.5286761319069305,1,0.47132386809306953,1,,0,farmer,1.0,35.0,,,32.0,1.0,0.0,41.0,,2.0,2010-2011,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,0,0,1,7.578862448210157,7.628372245593808,-inf,7.121576199605884,6.476056289580859,7.290286331168887,,6.3803298238759405,6.955584367459101,7.366049835356758,8.89604665200904,8.89604665200904,0.0557600945579777,
2053000907,0,2011.0,9.0,981,0.9408170188899074,508.4251023462634,519.1080283693786,128.19511227738337,443.34142995928414,65.08367238697925,,,340000.0,-19.722324965751287,115.56049784619894,95.83817288044766,95.83817288044766,95.83817288044766,,0,1.0,1,,0,farmer,1.0,28.0,,,35.0,1.0,0.0,17.0,,2.0,2010-2011,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0,1,6.3925417204382615,6.410266872650373,4.853553417998325,6.11663933300045,4.323309708375232,,,5.845058042365975,4.423430709494873,5.916648112663977,8.439850722563047,8.439850722563047,-0.5325705431666741,
2053000908,0,2011.0,9.0,982,0.9408170188899074,1121.5428797190564,1181.983588103682,39.444649931502575,799.082866529023,322.4600131900336,,8.21763540239637,388000.0,0.0,139.28892007061847,139.28892007061847,147.50655547301486,147.50655547301486,,0,0.9442896935933147,1,0.055710306406685235,0,farmer,1.0,49.0,,,35.0,1.0,0.0,15.0,6.0,2.0,2010-2011,2401.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,1,0,0,1,7.098781163179607,7.147505369377151,3.6748984216566782,6.695897859092987,5.807584477855326,,8.42073593713474,5.911476679356153,4.6357399247401805,6.027353438676688,8.450953486463193,8.450953486463193,-0.04316055549156772,
2053000909,0,2011.0,3.0,983,0.8042809727532236,2066.052142039651,2322.6624892771165,51.90844259532925,1572.056796674101,493.99534536554995,,3.8450698218762405,875000.0,320.4865696533846,900.1749033929369,1220.6614730463216,1224.506542868198,1224.506542868198,,0,0.9968599025915617,1,0.003140097408438357,0,farmer,1.0,42.0,,,24.0,1.0,0.0,12.0,,2.0,2010-2011,1764.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,1,0,0,1,7.675546024152179,7.788050016531469,3.9494814473726794,7.366479267980018,6.223269610932554,,8.419772404580637,7.030094144795226,6.0487677739333625,7.310542686347108,8.65809057020722,8.65809057020722,0.6365109103527606,
2053000910,0,2011.0,9.0,984,0.9408170188899074,362.47989759970386,368.7253005055251,74.78048216180696,289.5072952264241,72.97260237327976,,,288000.0,-8.21763540239637,120.90652621075789,112.68889080836153,112.68889080836153,112.68889080836153,,0,1.0,1,,0,farmer,1.0,64.0,,,68.0,1.0,0.0,13.0,,2.0,2010-2011,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0,1,6.112415453401583,6.126155403330131,4.314556917265637,5.702129364900561,4.42277050190587,,,5.860411864264343,4.552681901131656,5.96104719290097,8.443485253287765,8.443485253287765,-0.985842872124663,
2053001302,0,2010.0,12.0,985,0.7498523637230383,4749.80332328311,4790.7872344797115,395.9200477860368,3924.5574736790895,825.2458496040203,,,5440000.0,956.2912612540341,1233.512622838593,2189.803884092627,2189.803884092627,2189.803884092627,,0,1.0,1,,0,farmer,1.0,49.0,,,35.0,1.0,0.0,15.0,,2.0,2010-2011,2401.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1,0,0,1,8.484411955639661,8.492846222583063,5.9812122913398165,8.277552979152151,6.728150113707108,,,7.288568833102985,6.965453685122479,7.81000032347584,8.813115689385867,8.813115689385867,1.3424702369684862,
2053001303,0,2010.0,12.0,986,0.7498523637230383,1684.1036615982093,1875.3619138490162,60.00663224257119,911.4409433407722,772.6627182574374,,,,278.6390440473345,582.6674922007396,861.306536248074,861.306536248074,861.306536248074,,0,1.0,1,,0,farmer,,,,,,,,,,,2010-2011,,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0,0,0,0,7.480457389767146,7.582896225143586,4.094455093489482,6.825935628765029,6.663154329044747,,,6.700275397488948,5.944748191899998,7.035826440886782,8.59291874014022,8.59291874014022,,
2053001304,0,2010.0,12.0,987,0.7498523637230383,1550.7899580077549,1621.6740811465309,149.50105971087325,1036.0938958859072,514.6960621218478,,221.6739850885362,,0.0,274.11570618946354,274.11570618946354,495.7896912779998,495.7896912779998,,0,0.552887062824711,1,0.44711293717528894,1,businessman,1.0,31.0,,,45.0,1.0,0.0,34.0,,2.0,2010-2011,961.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1,0,0,1,7.4022916681321105,7.4446123176805745,5.007303481172664,6.952815712940226,6.26349403463175,,8.466678522139388,6.2227306301476375,4.6357399247401805,6.308905137523086,8.52274089753804,8.52274089753804,-0.0207444959655243,
2053001305,0,2010.0,12.0,988,0.7498523637230383,803.9032845280543,1003.203662749515,76.70950925854461,655.4332666082905,148.4700179197638,,45.88135970437145,623000.0,0.0,177.4271703036703,177.4271703036703,223.30853000804174,223.30853000804174,,0,0.7945382574381767,1,0.20546174256182323,0,farmer,1.0,41.0,,,45.0,1.0,0.0,17.0,,2.0,2010-2011,1681.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1,0,0,1,6.7944199254082625,6.995904944556784,4.340025680591135,6.500434121697615,5.067798172724502,,8.42899724782293,6.009769162271307,4.6357399247401805,6.115350077733898,8.467022309925413,8.467022309925413,-0.3231069349561375,
2053001306,0,2010.0,12.0,989,0.7498523637230383,2599.256355386976,3399.6540978252583,185.58752239970474,1460.98621800212,1138.2701373848556,,,,852.6715612475323,878.6351983511515,1731.3067595986834,1731.3067595986834,1731.3067595986834,,0,1.0,1,,0,farmer,1.0,41.0,,,17.0,1.0,0.0,17.0,,2.0,2010-2011,1681.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1,0,0,1,7.8966286883118615,8.157256362557524,5.2235265896423,7.293686435384122,7.046320294884665,,,7.010850798459373,6.8625233043179446,7.604214024354574,8.742467700070469,8.742467700070469,0.7791018279474615,
2053001307,0,2010.0,12.0,990,0.7498523637230383,792.5102727362947,877.3134600550486,126.71503612735395,394.73434972626086,397.7759230100338,,,0.0,0.0,889.789065727473,889.789065727473,889.789065727473,889.789065727473,,0,1.0,1,,0,farmer,1.0,31.0,,,35.0,,0.0,17.0,,2.0,2010-2011,961.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1,0,0,1,6.7815775557611895,6.87343436137894,4.841940755324079,6.003223961530598,6.011586102994594,,,7.0208617646308085,4.6357399247401805,7.060576287471598,8.598185907408766,8.598185907408766,,
205300130703,0,2011.0,8.0,991,0.8803081113407588,365.922164560009,365.922164560009,139.29018432549483,335.09564835682573,30.826516203183285,,,233000.0,0.0,321.8780110674266,321.8780110674266,321.8780110674266,321.8780110674266,,0,1.0,1,,0,farmer,0.0,70.0,,,45.0,1.0,1.0,,,2.0,2010-2011,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,6.12001181575099,6.12001181575099,4.9365594140208735,5.843813452993603,3.7179705938680048,,,6.313258347378711,4.6357399247401805,6.392261040290948,8.487538595297345,8.487538595297345,,
2053001308,0,2010.0,12.0,992,0.7498523637230383,259.10080210581,268.1224177780179,0.0,211.77598389388527,47.32481821192471,,,,-4.124167164437883,495.5114675146738,491.387300350236,491.387300350236,491.387300350236,,0,1.0,1,,0,farmer,0.0,60.0,,,35.0,0.0,1.0,,,2.0,2010-2011,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0,0,5.852342431604446,5.877932743662188,-inf,5.4016550821630505,4.0548938288112195,,,6.586824635845868,4.594917930219926,6.642114696882198,8.521864906894676,8.521864906894676,,
2053001309,0,2010.0,12.0,993,0.7498523637230383,2702.360534497923,3526.6784464899447,437.1617194304156,2109.717712968199,592.6428215297237,,,1500000.0,451.08078361039344,603.2479455527774,1054.328729163171,1054.328729163171,1054.328729163171,,0,1.0,1,,0,farmer,1.0,59.0,,,35.0,,0.0,32.0,,2.0,2010-2011,3481.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1,0,0,1,7.934265739446498,8.193020384046049,6.080303193984047,7.659036874898291,6.401912291469289,,,6.725285763868446,6.317498498753907,7.192675599630548,8.62808223421132,8.62808223421132,,
205300130910,0,2011.0,8.0,994,0.8803081113407588,1356.8936619349909,1510.5871187884688,252.93551756458083,911.094812227417,445.79884970757365,526.9489949262099,,35000.0,-6.586862436577626,321.951198427833,315.36433599125536,842.3133309174654,842.3133309174654,0.6255973585889305,1,0.37440264141106955,1,,0,farmer,0.0,35.0,,,24.0,1.0,1.0,15.0,,1.0,2010-2011,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,7.276446829962186,7.377468255572295,5.5331345849560725,6.825559915918953,6.122828433700746,6.269035275500033,,6.313390962798259,4.569722439648973,6.381294197008203,8.589390916200202,8.589390916200202,-0.022693810662541836,
