hh,own_value
2041000911.0,
2043001205.0,
2043001206.0,
2043001207.0,
2043001209.0,
2043001210.0,
2043001212.0,
2043001401.0,
2043001404.0,520000.0
2043001405.0,31200.0
2043001406.0,
2043001409.0,
2043001410.0,
2043001411.0,
2043001501.0,
2043001508.0,
2043001510.0,
2051000105.0,
2051000108.0,405600.0
2051000109.0,
2051000110.0,
2051000111.0,
2053000401.0,145600.0
2053000402.0,
2053000403.0,20800.0
2053000404.0,364000.0
2053000405.0,455000.0
2053000406.0,436800.0
2053000408.0,208000.0
2053000410.0,582400.0
2053000902.0,
2053000903.0,
2053000904.0,
2053000905.0,31200.0
2053000906.0,327600.0
2053000907.0,
2053000908.0,
2053000909.0,592800.0
2053000910.0,
2053001302.0,455000.0
2053001303.0,
2053001304.0,
2053001305.0,
2053001306.0,130000.0
2053001307.0,
2053001309.0,182000.0
2053001702.0,
2053001704.0,
2053001706.0,
2053001707.0,
2053001708.0,
2053001709.0,
2053001710.0,
2053003001.0,
2053003003.0,
2053003004.0,
2053003006.0,
2053003007.0,530400.0
2053003009.0,
2053003010.0,416000.0
2063000301.0,109200.0
2063000302.0,291200.0
2063000305.0,520000.0
2063000306.0,426400.0
2063000307.0,273000.0
2063000308.0,41600.0
2063000310.0,
2073000502.0,452400.0
2073000503.0,109200.0
2073000504.0,91000.0
2073000505.0,
2073000506.0,
2073000507.0,418600.0
2073000509.0,
2073000510.0,218400.0
2073000601.0,104000.0
2073000602.0,312000.0
2073000603.0,494000.0
2073000604.0,
2073000605.0,
2073000606.0,104000.0
2073000607.0,327600.0
2073000608.0,104000.0
2073000609.0,
2073000610.0,1638000.0
2081000101.0,455000.0
2081000102.0,26000.0
2081000104.0,
2081000106.0,
2081000107.0,
2081000109.0,
2081000110.0,
2081000111.0,842400.0
2083000502.0,20800.0
2083000503.0,20800.0
2083000504.0,
2083000505.0,78000.0
2083000506.0,
2083000507.0,312000.0
2083000508.0,
2083000509.0,
2083000510.0,
2083000702.0,182000.0
2083000703.0,
2083000704.0,
2083000706.0,
2083000709.0,988000.0
2083000710.0,478400.0
2083000801.0,163800.0
2083000802.0,52000.0
2083000803.0,234000.0
2083000804.0,312000.0
2083000805.0,52000.0
2083000806.0,
2083000807.0,
2083000808.0,218400.0
2083000809.0,884000.0
2091000306.0,
2091000308.0,
2091000312.0,
2091000603.0,
2091000607.0,
2091000608.0,
2091000609.0,
2091000611.0,
2093003301.0,
2093003303.0,182000.0
2093003305.0,
2093003309.0,436800.0
2101000205.0,
2101000206.0,
2101000207.0,
2101000208.0,
2101000211.0,
2103000402.0,
2103000404.0,
2103000405.0,312000.0
2103000406.0,
2103000407.0,
2103000408.0,
2103000409.0,
2103000410.0,
2103000411.0,62400.0
2103000602.0,
2103000603.0,
2103000604.0,431600.0
2103000605.0,416000.0
2103000606.0,327600.0
2103000607.0,
2103000609.0,
2103000610.0,
2103000611.0,
2103000702.0,
2103000703.0,
2103000704.0,
2103000705.0,
2103000707.0,
2103000709.0,364000.0
2103000710.0,
2111000303.0,
2111000304.0,
2111000307.0,
2111000308.0,
2111000311.0,
2113000401.0,520000.0
2113000402.0,
2113000403.0,
2113000404.0,
2113000405.0,
2113000406.0,
2113000407.0,
2113000408.0,
2113000409.0,
2113000410.0,364000.0
2113000602.0,
2113000604.0,
2113000606.0,65000.0
2113000607.0,
2113000608.0,
2113000609.0,
2113000701.0,1040000.0
2113000702.0,
2113000703.0,130000.0
2113000704.0,
2113000705.0,
2113000706.0,
2113000707.0,520000.0
2113000708.0,689000.0
2113000709.0,
2113000710.0,
2113000901.0,
2113000902.0,
2113000903.0,
2113000905.0,800800.0
2113000906.0,
2113000907.0,
2113000908.0,270400.0
2113000909.0,
2113000910.0,218400.0
2121000305.0,
2121000307.0,
2121000311.0,728000.0
2123000802.0,364000.0
2123000803.0,
2123000804.0,
2123000808.0,
2123000809.0,
2123000810.0,
2123000902.0,
2123000903.0,
2123000904.0,
2123000905.0,182000.0
2123000906.0,
2123000907.0,364000.0
2123000909.0,520000.0
2123000910.0,
2123001102.0,
2123001103.0,
2123001104.0,
2123001109.0,
2123001110.0,624000.0
2123001302.0,
2123001303.0,520000.0
2123001307.0,312000.0
2123001309.0,499200.0
2123001310.0,
2143000202.0,
2143000203.0,
2143000204.0,
2143000205.0,1102400.0
2143000206.0,364000.0
2143000207.0,
2143000208.0,
2143000210.0,78000.0
2143000301.0,
2143000302.0,
2143000308.0,
2143000309.0,
2143000310.0,
2151000101.0,
2151000104.0,
2151000105.0,52000.0
2151000106.0,
2151000109.0,
2153000202.0,509600.0
2153000203.0,291200.0
2153000204.0,624000.0
2153000206.0,
2153000207.0,520000.0
2153000209.0,
2153000211.0,
2153000405.0,
2153000410.0,
2153000411.0,
2153000601.0,
2153000603.0,
2153000605.0,
2153000607.0,
2153000608.0,1092000.0
2153000609.0,163800.0
2153000610.0,
2153000702.0,91000.0
2153000703.0,
2153000704.0,
2153000705.0,
2153000706.0,
2153000707.0,
2153000708.0,
2153000709.0,
2153000710.0,728000.0
2163000302.0,1040000.0
2163000307.0,273000.0
2163000308.0,260000.0
2163000310.0,312000.0
2173000902.0,364000.0
2173000903.0,634400.0
2173000905.0,
2173000907.0,
2173000908.0,
2173000909.0,639600.0
2173000912.0,
2183003702.0,
2183003703.0,
2183003705.0,
2183003708.0,
2183003709.0,514800.0
2183003710.0,582400.0
2193000301.0,
2193000303.0,
2193000304.0,
2193000306.0,
2193000307.0,447200.0
2193000308.0,
2193000309.0,114400.0
2203000102.0,218400.0
2203000103.0,
2203000104.0,72800.0
2203000107.0,41600.0
2203000109.0,
2203000110.0,
2213000602.0,
2213000603.0,
2213000604.0,
2213000605.0,
2213000607.0,
2213000610.0,
2223002201.0,182000.0
2223002205.0,
2223002206.0,624000.0
2223002207.0,
2223002208.0,
2223002209.0,520000.0
2223002210.0,182000.0
2223002601.0,72800.0
2223002602.0,
2223002603.0,
2223002604.0,291200.0
2223002606.0,
2223002607.0,
2223002608.0,
2223002609.0,
2223002610.0,728000.0
2223002611.0,114400.0
2233001103.0,156000.0
2233001110.0,707200.0
2233001402.0,
2233001406.0,520000.0
2233001407.0,
2233001408.0,
2233001410.0,582400.0
2233001803.0,
2233001806.0,
2233001807.0,254800.0
2233001810.0,
2233002202.0,
2233002204.0,364000.0
2233002205.0,
2233002206.0,
2233002207.0,218400.0
2233002208.0,520000.0
2233002209.0,
2233002210.0,582400.0
2233002601.0,
2233002602.0,
2233002603.0,
2233002604.0,
2233002608.0,182000.0
2233002609.0,
2233002610.0,364000.0
2233002905.0,
2233002909.0,
2233002910.0,218400.0
2243001302.0,218400.0
2243001306.0,520000.0
2243001307.0,
2243001308.0,
2243001309.0,65000.0
2243001310.0,
3013000301.0,
3013000302.0,52000.0
3013000303.0,
3013000304.0,
3013000305.0,
3013000306.0,
3013000308.0,327600.0
3013000309.0,546000.0
3013000310.0,
3021000201.0,104000.0
3021000203.0,
3021000207.0,728000.0
3021000210.0,312000.0
3021000211.0,
3021000212.0,
3021000213.0,
3023000302.0,156000.0
3023000303.0,156000.0
3023000304.0,1196000.0
3023000305.0,
3023000306.0,
3023000307.0,156000.0
3023000308.0,
3023000309.0,546000.0
3023000310.0,936000.0
3023000501.0,
3023000502.0,
3023000503.0,
3023000504.0,156000.0
3023000505.0,
3023000506.0,421200.0
3023000507.0,260000.0
3023000508.0,
3023000802.0,
3023000803.0,
3023000806.0,
3023000807.0,374400.0
3023000808.0,
3023000809.0,
3023001002.0,338000.0
3023001004.0,582400.0
3023001006.0,312000.0
3023001007.0,
3023001008.0,780000.0
3023001009.0,
3023001304.0,
3023001305.0,
3023001307.0,91000.0
3023001310.0,
3023001313.0,208000.0
3023001604.0,
3023001605.0,
3023001606.0,
3023001607.0,
3023001608.0,
3023001609.0,312000.0
3023001610.0,2730000.0
3023001812.0,416000.0
3023003501.0,
3023003503.0,
3023003507.0,
3023003508.0,
3023003510.0,
3023003511.0,
3023003512.0,
3031000202.0,
3031000204.0,
3031000205.0,
3031000206.0,
3031000207.0,
3031000210.0,
3031000211.0,
3031000213.0,
3031000214.0,
3033000601.0,
3033000602.0,
3033000605.0,
3033000606.0,546000.0
3033000607.0,
3033000608.0,
3033000609.0,624000.0
3033000610.0,
3033000901.0,
3033000902.0,
3033000903.0,
3033000905.0,
3033000907.0,
3033000908.0,
3033000909.0,
3033000910.0,1664000.0
3033001504.0,
3033001505.0,
3033001507.0,
3033001508.0,
3033001509.0,364000.0
3033001511.0,
3033001513.0,
3033003302.0,
3033003303.0,
3033003307.0,
3033003308.0,
3033003309.0,707200.0
3033003311.0,
3041000202.0,
3041000204.0,
3041000205.0,
3041000207.0,
3041000208.0,
3041000209.0,
3041000210.0,
3041000401.0,
3041000402.0,
3041000403.0,416000.0
3041000406.0,
3041000408.0,
3041000411.0,
3041000701.0,
3041000702.0,
3041000703.0,
3041000706.0,
3041000710.0,624000.0
3043000901.0,436800.0
3043000902.0,
3043000903.0,
3043000904.0,
3043000905.0,
3043000910.0,
3043000911.0,1560000.0
3043001402.0,
3043001403.0,
3043001404.0,
3043001406.0,520000.0
3043001407.0,
3043001408.0,
3043001409.0,26000.0
3043001410.0,624000.0
3051000101.0,
3051000102.0,520000.0
3051000105.0,
3051000107.0,
3051000108.0,468000.0
3051000109.0,
