,hh,profit_ls,profit_agr,total_agrls
1945,4123000303.0,-1000.0,1239404.7619047621,1238404.7619047621
1946,4123000304.0,0.0,16099055.357142858,16099055.357142858
1947,4123000305.0,0.0,5023047.619047619,5023047.619047619
1948,4123000306.0,1460000.0,16933323.214285713,18393323.214285713
1949,4123000307.0,-18000.0,2026923.8095238097,2008923.8095238097
1950,4123000308.0,0.0,2355321.428571429,2355321.428571429
1951,4123000309.0,0.0,2135552.380952381,2135552.380952381
1952,4123000310.0,859000.0,5265390.476190477,6124390.476190477
1953,4123000502.0,0.0,255257.14285714287,255257.14285714287
1954,4123000503.0,0.0,877123.8095238095,877123.8095238095
1955,4123000504.0,0.0,906200.0,906200.0
1956,4123000505.0,8000.0,757719.0455527533,765719.0455527533
1957,4123000507.0,0.0,693419.0476190476,693419.0476190476
1958,4123000508.0,20000.0,1001442.8571428572,1021442.8571428572
1959,4123000509.0,200000.0,1353333.3333333333,1553333.3333333333
1960,412300050902.0,-6500.0,416400.0,409900.0
1961,412300050906.0,0.0,675714.2857142857,675714.2857142857
1962,4123000510.0,160000.0,658583.3333333333,818583.3333333333
1963,4133000201.0,42600.0,742985.7155374119,785585.7155374119
1964,4133000202.0,0.0,547666.1428571428,547666.1428571428
1965,4133000203.0,0.0,418676.19047619053,418676.19047619053
1966,4133000204.0,3600.0,916004.761904762,919604.761904762
1967,4133000205.0,513400.0,5206485.714553935,5719885.714553935
1968,4133000206.0,0.0,1532960.380952381,1532960.380952381
1969,4133000207.0,-1600.0,208688.80945675433,207088.80945675433
1970,4133000208.0,0.0,459200.0,459200.0
1971,4133000209.0,105100.0,14852685.523809519,14957785.523809519
1972,4133000210.0,7100.0,-15991.0,-8891.0
1973,4133000301.0,0.0,3758977.142857143,3758977.142857143
1974,4133000302.0,0.0,800652.1904761903,800652.1904761903
1975,4133000303.0,0.0,4052237.1428571427,4052237.1428571427
1976,4133000304.0,-4000.0,1756818.3333333335,1752818.3333333335
1977,4133000305.0,0.0,1624047.619047619,1624047.619047619
1978,4133000306.0,0.0,1248100.0,1248100.0
1979,4133000307.0,-1600.0,2796273.333333333,2794673.333333333
1980,4133000309.0,30000.0,2051735.2380952383,2081735.2380952383
1981,4133000310.0,0.0,1174257.142857143,1174257.142857143
1982,4133000503.0,0.0,713380.9523809521,713380.9523809521
1983,4133000504.0,0.0,0.0,0.0
1984,4133000505.0,6000.0,3648920.9523809524,3654920.9523809524
1985,4133000506.0,0.0,745200.0,745200.0
1986,4133000507.0,-2000.0,744222.857142857,742222.857142857
1987,4133000508.0,0.0,6357454.476190477,6357454.476190477
1988,4133000512.0,438000.0,7969847.619047619,8407847.61904762
1989,4133000513.0,0.0,5038382.857142857,5038382.857142857
1990,4141000102.0,-7500.0,2427254.7619047617,2419754.7619047617
1991,4141000103.0,1492400.0,3434339.2857142864,4926739.285714286
1992,4141000104.0,60000.0,2231500.0,2291500.0
1993,4141000105.0,-116000.0,6444196.666666667,6328196.666666667
1994,4141000108.0,0.0,19053599.999999996,19053599.999999996
1995,4141000109.0,130000.0,2465503.333333333,2595503.333333333
1996,4141000110.0,425200.0,12155878.095238095,12581078.095238095
1997,4141000111.0,-6000.0,1810082.142857143,1804082.142857143
1998,4143000302.0,-100000.0,2802661.9047619044,2702661.9047619044
1999,4143000304.0,-5000.0,1570676.7857142857,1565676.7857142857
2000,4143000305.0,0.0,13734908.928571427,13734908.928571427
2001,4143000306.0,0.0,1358542.2619047621,1358542.2619047621
2002,4143000307.0,0.0,8741900.952380953,8741900.952380953
2003,4143000308.0,0.0,1028350.0,1028350.0
2004,4143000309.0,600000.0,21155111.9047619,21755111.9047619
2005,4143000310.0,-19000.0,3068061.904761905,3049061.904761905
2006,4143000313.0,0.0,1996950.0,1996950.0
2007,4143000501.0,-10000.0,1169250.0,1159250.0
2008,4143000502.0,0.0,3739444.0476190476,3739444.0476190476
2009,4143000503.0,672000.0,1865000.0,2537000.0
2010,4143000506.0,-1000.0,5018392.857142856,5017392.857142856
2011,414300050605.0,425000.0,1728771.4285714286,2153771.4285714286
2012,4143000507.0,-5000.0,2089123.8095238097,2084123.8095238097
2013,4143000508.0,170000.0,3569200.0,3739200.0
2014,4143000509.0,-10000.0,6479185.714285715,6469185.714285715
2015,4143000510.0,152000.0,5437416.666666666,5589416.666666666
2016,4151000208.0,-15000.0,6890892.857142856,6875892.857142856
2017,4151000210.0,7042000.0,7197528.571428571,14239528.57142857
2018,4153000401.0,0.0,95217.85714285716,95217.85714285716
2019,4153000402.0,27300.0,406183.3338101705,433483.3338101705
2020,4153000403.0,0.0,2068222.999165535,2068222.999165535
2021,4153000404.0,0.0,923728.5714285714,923728.5714285714
2022,4153000406.0,-3600.0,701400.0,697800.0
2023,4153000407.0,20000.0,762328.9971836807,782328.9971836807
2024,4153000408.0,0.0,357438.09523809515,357438.09523809515
2025,4153000409.0,62000.0,69755.0,131755.0
2026,415300040902.0,160000.0,2967476.1904761903,3127476.1904761903
2027,4153000410.0,79500.0,1287275.0476190476,1366775.0476190476
2028,4153000602.0,0.0,231600.0,231600.0
2029,4153000605.0,0.0,1982712.3809523806,1982712.3809523806
2030,4153000606.0,-6000.0,1262406.6666666665,1256406.6666666665
2031,4153000607.0,-5500.0,1852180.9523809524,1846680.9523809524
2032,4153000608.0,244000.0,753949.3322604496,997949.3322604496
2033,4153000609.0,0.0,1322320.0,1322320.0
2034,4153000610.0,620000.0,13183261.906371228,13803261.906371228
2035,4153000703.0,1484000.0,4074319.0476190476,5558319.047619048
2036,4153000704.0,197300.0,3066609.523809524,3263909.523809524
2037,4153000705.0,15000.0,3586673.3333333335,3601673.3333333335
2038,4153000706.0,3232600.0,15169912.37966492,18402512.37966492
2039,4153000708.0,930600.0,441383.5721736295,1371983.5721736294
2040,4153000709.0,-5000.0,1405963.8095238097,1400963.8095238097
2041,4153000710.0,4856000.0,42430217.190476194,47286217.190476194
2042,4153000901.0,-8000.0,494333.57142857136,486333.57142857136
2043,4153000902.0,239200.0,605661.9047619049,844861.9047619049
2044,4153000903.0,-29000.0,6062781.666666666,6033781.666666666
2045,4153000904.0,0.0,1196558.8095238092,1196558.8095238092
2046,4153000905.0,49000.0,872000.0,921000.0
2047,4153000906.0,1298000.0,17295766.285714284,18593766.285714284
2048,4153000907.0,0.0,1029635.7142857143,1029635.7142857143
2049,4153000908.0,0.0,0.0,0.0
2050,4153000909.0,10000.0,9887985.714285713,9897985.714285713
2051,4163000701.0,0.0,294728.5714285714,294728.5714285714
2052,4163000702.0,0.0,153628.57142857142,153628.57142857142
2053,4163000703.0,0.0,56285.71428571428,56285.71428571428
