,hh,urban,year,month,index,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation
2339,4163000706,0,2010,3,2339,0.7235315842039208,1549.503252410076,1549.503252410076,232.9437342427395,1207.1400760276276,342.36317638244833,,,150000.0,0.0,62.14758702724463,62.14758702724463,62.14758702724463,62.14758702724463,,0.0,1.0,1.0,,0.0,farmer
2340,4163000708,0,2010,3,2340,0.7235315842039208,1625.1565385769838,1625.1565385769838,0.0,1407.1724936892829,217.9840448877012,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,nothing
2341,4163000709,0,2010,3,2341,0.7235315842039208,1906.9329730715272,1906.9329730715272,0.0,1536.3600967624352,370.572876309092,,,200000.0,-2.5645181751494257,0.0,-2.5645181751494257,-2.5645181751494257,-2.5645181751494257,,0.0,1.0,1.0,,0.0,farmer
2342,4163000710,0,2010,3,2342,0.7235315842039208,2055.835309616141,2055.835309616141,10.899202244385059,1267.566535529586,788.2687740865548,,,,,,,,,,,,,,,
2343,4171000801,1,2010,4,2343,0.7258143156220446,1581.6985305426147,1581.6985305426147,121.43149874190726,1136.8757772564704,444.8227532861444,,,240000.0,-1.0651885854553267,537.9658865943167,536.9006980088614,536.9006980088614,536.9006980088614,,0.0,1.0,1.0,,0.0,farmer
2344,4171000802,1,2010,4,2344,0.7258143156220446,2377.873738741199,2537.6520265594977,63.91131512731961,848.1564111688039,1529.7173275723947,3566.251384104434,,4600000.0,6052.401542557167,4593.854029472979,10646.255572030146,14212.50695613458,14212.50695613458,0.2509234574245977,0.0,0.7490765425754023,1.0,,0.0,farmer
2345,4171000803,1,2010,4,2345,0.7258143156220446,2120.151360490282,2120.151360490282,0.0,733.9149353787201,1386.2364251115623,,133.14857318191585,4420000.0,31.423063270932136,1777.2671548322128,1808.690218103145,1941.8387912850608,1941.8387912850608,,0.0,0.9314317059791553,1.0,0.06856829402084476,0.0,farmer
2346,4171000804,1,2009,10,2346,0.7292036084702209,2054.7405761837645,2054.7405761837645,161.15612362225605,1075.0809825853132,979.659593598451,4141.288282029816,9.012020070981423,700000.0,0.0,2379.101985134893,2379.101985134893,6529.402287235691,6529.402287235691,0.6342522791290726,1.0,0.36436749957737974,1.0,0.001380221293547649,0.0,farmer
2347,4171000805,1,2009,10,2347,0.7292036084702209,818.9275650383588,818.9275650383588,25.4457037298299,407.979449801606,410.94811523675287,,106.0237655409579,2008500.0,0.0,2348.2673710839063,2348.2673710839063,2454.291136624864,2454.291136624864,,0.0,0.9568006566300192,1.0,0.043199343369980776,0.0,farmer
2348,4171000806,1,2009,10,2348,0.7292036084702209,1821.170220697034,1821.170220697034,12.72285186491495,792.5276474186604,1028.6425732783737,1952.321618671199,,120000.0,-20.144515452782006,1059.1550139227606,1039.0104984699788,2991.332117141178,2991.332117141178,0.6526595985393414,1.0,0.34734040146065864,1.0,,0.0,farmer
2349,4171000807,1,2009,10,2349,0.7292036084702209,1834.8472864518176,1834.8472864518176,0.0,949.6548679503601,885.1924185014576,1041.2381966246394,4.771069449343106,240000.0,0.0,779.7981690683991,779.7981690683991,1825.8074351423816,1825.8074351423816,0.5702891644449025,1.0,0.42709770705232575,1.0,0.002613128502771731,0.0,farmer
2350,4171000808,1,2010,4,2350,0.7258143156220446,1439.1976015804012,1439.1976015804012,102.25810420371137,964.3365301844163,474.86107139598465,855.9003321850643,,200000.0,-1.0651885854553267,4364.077634610474,4363.012446025018,5218.912778210082,5218.912778210082,0.16399973874991838,0.0,0.8360002612500816,1.0,,0.0,farmer
2351,4171000809,1,2009,10,2351,0.7292036084702209,6391.7487294021885,6391.7487294021885,3731.612451979555,2804.8587173860415,3586.8900120161475,887.4189175778178,34.45772380081132,500000.0,0.0,2268.3431224936144,2268.3431224936144,3190.219763872243,3190.219763872243,0.27816858500703456,0.0,0.7110303647985465,1.0,0.010801050194418904,0.0,farmer
2352,4171000810,1,2010,4,2352,0.7258143156220446,3443.4351402014354,3443.4351402014354,0.0,1593.8416804168055,1849.5934597846294,,149.12640196374576,11400000.0,5098.844720857558,6990.406610909128,12089.251331766685,12238.377733730431,12238.377733730431,,0.0,0.9878148554319633,1.0,0.012185144568036625,0.0,farmer
2353,4173001402,0,2009,11,2353,0.7293437235090989,2097.383216934232,2097.383216934232,127.20407663605978,1559.9459931468798,537.4372237873525,,18.550594509425384,680000.0,-1.5900509579507471,1355.8894535432,1354.2994025852493,1372.8499970946746,1372.8499970946746,,0.0,0.9864875299204695,1.0,0.013512470079530542,0.0,farmer
2354,4173001403,0,2009,11,2354,0.7293437235090989,743.295821143376,743.295821143376,77.59448674799647,468.53501560948683,274.7608055338891,191.25132922231586,,256000.0,0.0,12193.132127385137,12193.132127385137,12384.383456607453,12384.383456607453,0.015442943113997116,0.0,0.9845570568860029,1.0,,0.0,farmer
2355,4173001404,0,2009,11,2355,0.7293437235090989,1343.0630424823978,1351.0132972721515,132.5042464958956,1055.5818292849026,287.4812131974951,319.40943643314614,1.1925382184630604,185000.0,186.56597906622102,1182.212351825416,1368.7783308916369,1689.3803055432463,1689.3803055432463,0.18906899493565196,0.0,0.8102251023054784,1.0,0.0007059027588696682,0.0,farmer
2356,4173001405,0,2009,11,2356,0.7293437235090989,925.4308582067741,925.4308582067741,16.53652996268777,237.57481379728097,687.8560444094932,,,130000.0,0.0,3122.302301634779,3122.302301634779,3122.302301634779,3122.302301634779,,0.0,1.0,1.0,,0.0,farmer
2357,4173001406,0,2009,11,2357,0.7293437235090989,1288.8953065148755,1416.0993831509354,108.1234651406508,1066.6061825933612,222.28912392151446,,15.900509579507473,2010000.0,661.4611985075109,1647.018950327549,2308.48014883506,2324.3806584145673,2324.3806584145673,,0.0,0.9931592488855276,1.0,0.00684075111447237,0.0,farmer
2358,4173001407,0,2010,5,2358,0.7216937371077443,498.7834890348614,498.7834890348614,98.98538313320704,325.880449665818,172.90303936904346,765.1441563751276,71.23948028526264,380000.0,0.0,827.8611706569121,827.8611706569121,1664.2448073173023,1664.2448073173023,0.45975457036787165,1.0,0.49743953955391457,1.0,0.04280589007821386,0.0,farmer
