hh,own_value
1133001609.0,
1133001610.0,1560000.0
1133001901.0,
1133001904.0,
1133001905.0,
1133001906.0,
1133001909.0,
1133002102.0,
1133002104.0,
1133002105.0,
1133002106.0,
1133002107.0,
1133002108.0,
1133002110.0,
1133002303.0,
1133002304.0,
1133002305.0,
1133002308.0,
1133002502.0,
1133002503.0,
1133002504.0,
1133002505.0,
1133002506.0,
1133002509.0,
1143000301.0,
1143000303.0,
1143000307.0,218400.0
1143000308.0,
1143000309.0,104000.0
1143000310.0,
1153000401.0,
1153000402.0,956800.0
1153000403.0,
1153000404.0,
1153000407.0,
1153000409.0,41600.0
1153002701.0,
1153002703.0,
1153002705.0,
1153002707.0,156000.0
1153002708.0,
1153002709.0,655200.0
1153002710.0,
1153003105.0,
1153003107.0,
1153003110.0,
1163001101.0,124800.0
1163001102.0,
1163001103.0,
1163001104.0,327600.0
1163001105.0,
1163001107.0,
1163001108.0,
1163001109.0,20800.0
1163001110.0,
1163001302.0,
1163001303.0,
1163001304.0,
1163001307.0,
1163001310.0,
2013000401.0,
2013000403.0,
2013000404.0,
2013000406.0,
2013000407.0,
2013000408.0,
2013000409.0,
2013000410.0,
2013000601.0,260000.0
2013000602.0,728000.0
2013000603.0,364000.0
2013000604.0,145600.0
2013000605.0,764400.0
2013000606.0,31200.0
2013000607.0,23400.0
2013000609.0,
2013000804.0,218400.0
2013000805.0,218400.0
2013000806.0,
2013000808.0,624000.0
2013000809.0,218400.0
2013000810.0,327600.0
2013000901.0,124800.0
2013000902.0,
2013000903.0,
2013000905.0,
2013000906.0,
2013000907.0,
2013000909.0,
2013000910.0,
2013000911.0,
2021000103.0,
2021000106.0,
2021000109.0,
2021000110.0,
2023000502.0,
2023000503.0,
2023000504.0,
2023000505.0,
2023000508.0,
2023000509.0,104000.0
2023000510.0,
2023000701.0,
2023000702.0,
2023000703.0,
2023000704.0,
2023000705.0,
2023000706.0,
2023000707.0,
2023000709.0,
2023000710.0,728000.0
2031000103.0,
2031000109.0,
2031000110.0,
2031000114.0,
2031000401.0,
2031000405.0,1112800.0
2031000406.0,
2031000407.0,312000.0
2031000409.0,
2031000410.0,1300000.0
2033000801.0,
2033000803.0,936000.0
2033000804.0,83200.0
2033000806.0,
2033000807.0,
2033000808.0,
2033000809.0,
2033001801.0,364000.0
2033001802.0,
2033001804.0,
2033001805.0,
2033001806.0,301600.0
2033001808.0,
2033001809.0,
2033001810.0,62400.0
2033002301.0,
2033002303.0,447200.0
2033002307.0,
2033002308.0,
2033002310.0,62400.0
2033002801.0,
2033002803.0,452400.0
2033002805.0,436800.0
2033002807.0,
2033003302.0,
2033003303.0,873600.0
2033003305.0,1092000.0
2033003306.0,468000.0
2033003308.0,
2033003309.0,
2033003310.0,62400.0
2041000201.0,
2041000202.0,
2041000204.0,
2041000207.0,
2041000208.0,
2041000209.0,
2041000210.0,
2041000606.0,
2041000610.0,
2041000611.0,
2041000901.0,
2041000902.0,
2041000904.0,
2041000909.0,
2041000911.0,
2043001202.0,
2043001204.0,
2043001206.0,
2043001209.0,
2043001210.0,
2043001401.0,312000.0
2043001405.0,759200.0
2043001406.0,
2043001410.0,
2043001411.0,582400.0
2043001501.0,
2043001503.0,
2043001505.0,
2043001506.0,26000.0
2043001508.0,218400.0
2043001509.0,
2043001510.0,
2051000105.0,
2051000108.0,
2051000109.0,436800.0
2051000110.0,
2051000111.0,582400.0
2053000401.0,312000.0
2053000403.0,
2053000404.0,291200.0
2053000405.0,
2053000406.0,
2053000407.0,
2053000408.0,
2053000409.0,39000.0
2053000410.0,436800.0
2053000903.0,
2053000905.0,20800.0
2053000906.0,535600.0
2053000907.0,
2053000908.0,
2053000910.0,
2053001302.0,1060800.0
2053001303.0,291200.0
2053001304.0,
2053001305.0,
2053001306.0,218400.0
2053001307.0,
2053001308.0,
2053001309.0,
2053001702.0,
2053001709.0,
2053001710.0,
2053003001.0,
2053003003.0,
2053003004.0,
2053003006.0,
2053003007.0,31200.0
2053003008.0,499200.0
2053003009.0,
2053003010.0,1102400.0
2063000302.0,499200.0
2063000305.0,
2063000306.0,72800.0
2063000307.0,
2063000308.0,
2063000310.0,156000.0
2073000501.0,
2073000502.0,273000.0
2073000503.0,1027000.0
2073000504.0,91000.0
2073000506.0,1066000.0
2073000507.0,
2073000508.0,
2073000509.0,312000.0
2073000510.0,676000.0
2073000601.0,
2073000602.0,
2073000603.0,
2073000604.0,327600.0
2073000605.0,182000.0
2073000606.0,540800.0
2073000607.0,
2073000608.0,738400.0
2073000609.0,
2073000610.0,2641600.0
2081000101.0,
2081000102.0,
2081000104.0,
2081000106.0,
2081000107.0,
2081000110.0,
2081000111.0,1430000.0
2083000501.0,228800.0
2083000502.0,10400.0
2083000503.0,156000.0
2083000504.0,338000.0
2083000506.0,
2083000507.0,811200.0
2083000508.0,260000.0
2083000509.0,
2083000510.0,20800.0
2083000701.0,
2083000702.0,
2083000704.0,312000.0
2083000705.0,156000.0
2083000706.0,
